Trajectory file for run 'run1'; etymon number :1291:
#wˌen̪erisd̪ˈieːs# >>> #væ̃d̪d̪i# ( Correct : #vɑ̃d̪ʁəd̪i#) :
w ˌe n̪ e r i s d̪ ˈi eː s 
#ɣʷˌen̪erisd̪ˈieːs# | Rule 5 : {j;w} > {ʝ;ɣʷ} / __ [+syl]
#ɣʷˌɛn̪ɛrɪsd̪ˈɪeːs# | Rule 14 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#βʷˌɛn̪ɛrɪsd̪ˈɪeːs# | Rule 45 : ɣʷ > βʷ 
#βʷˌɛn̪ɛrɪsd̪ˈɪes# | Rule 49 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#βʷˌɛn̪ɛresd̪ˈees# | Rule 59 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#βʷˌɛn̪ɛresd̪ˈies# | Rule 62 : ˈe > ˈi / __ e
#βʷˌɛn̪ɛresd̪ˈiːes# | Rule 90 : [+prim] > [+long] / __ [+syl]
#βˌɛn̪ɛresd̪ˈiːes# | Rule 107 : {βʷ;ɸʷ} > {β;ɸ} 
#βˌɛn̪ɛresd̪ˈiːjs# | Rule 219 : {e;i} > {j;j} / [+syl] __ [-nas]
#βˌɛn̪ɛrəsd̪ˈiːjs# | Rule 220 : [+syl,-stres] > ə / __ ( [-syl] )* [+syl] ( [-syl] )* #
#βˌɛn̪ərəsd̪ˈiːjs# | Rule 222 : [-stres,-lo,+syl] > ə / __ [-syl]
#βˌɛn̪ə̯rə̯sd̪ˈiːjs# | Rule 225 : ə > ə̯ 
#βˌɛn̪rsd̪ˈiːjs# | Rule 238 : ə̯ > ∅ 
#βˌɛn̪d̪rsd̪ˈiːjs# | Rule 250 : {z r;n̪ r;s r} > {z d̪ r;n̪ d̪ r;s t̪ r} 
#βˌɛn̪d̪rsd̪ˈijs# | Rule 252 : [+syl] > [-long,-splng] / __ [-syl] [+cons,-son]
#βˌen̪d̪rsd̪ˈijs# | Rule 295 : {ˌɛ;ˌɔ} > {ˌe;ˌo} 
#vˌen̪d̪rsd̪ˈijs# | Rule 297 : β > v 
#vˌen̪d̪rsd̪ˈis# | Rule 321 : j > ∅ / [+hi,+front,+tense,+syl] __ 
#vˌen̪d̪sd̪ˈis# | Rule 328 : [+cons] > ∅ / [+cons] __ [-son]
#vˌen̪d̪zd̪ˈis# | Rule 332 : s > z / __ [+voi,+cons]
#vˌen̪d̪ðd̪ˈis# | Rule 352 : z > ð / __ [+cor,+ant,+distr,+voi,+cons]
#vˌẽn̪d̪ðd̪ˈis# | Rule 370 : [+front,-hi,+syl] > [+nas,+son,.delrel] / __ [+nas,-syl]
#vˌɛ̃n̪d̪ðd̪ˈis# | Rule 395 : [+front,-hi,-lo,+syl,+nas] > [-tense,-cons,-lat,+cont,.delrel] 
#vˌæ̃n̪d̪ðd̪ˈis# | Rule 400 : [+nas,-hi,+syl] > [+lo] 
#vˌæ̃n̪d̪d̪ˈis# | Rule 410 : {θ;ð} > {∅;∅} 
#vˌæ̃ːd̪d̪ˈis# | Rule 503 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#vˌæ̃ːd̪d̪ˈi# | Rule 523 : [-son] > ∅ / __ #
#væ̃ːd̪d̪i# | Rule 535 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#væ̃d̪d̪i# | Rule 536 : [+syl,+long] > [-long,-splng] 
