Trajectory file for run 'run1'; etymon number :1057:
#sˌɑːn̪kt̪it̪ˈɑːt̪em# >>> #sɛ̃t̪jɛ# ( Correct : #sɛ̃t̪ət̪e#) :
s ˌɑː n̪ k t̪ i t̪ ˈɑː t̪ e m 
#sˌɑːŋkt̪it̪ˈɑːt̪em# | Rule 0 : n̪ > ŋ / __ [+hi,+back,-cont]
#sˌɑːŋkt̪ɪt̪ˈɑːt̪ɛm# | Rule 12 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#sˌɑŋkt̪ɪt̪ˈɑt̪ɛm# | Rule 48 : [+syl,+long] > [-long,-splng] 
#sˌɑŋt̪ɪt̪ˈɑt̪ɛm# | Rule 51 : k > ∅ / ŋ __ [+cor,-voi]
#sˌɑŋt̪et̪ˈɑt̪ɛm# | Rule 57 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#sˌɑŋt̪et̪ˈɑt̪ɛ# | Rule 62 : m > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#sˌɑŋt̪et̪ˈɑːt̪ɛ# | Rule 86 : [+prim] > [+long] / __ [+cons] [-cons]
#sˌɑŋt̪t̪ˈɑːt̪ɛ# | Rule 163 : e > ∅ / __ t̪ [+lo,+long]
#sˌaŋt̪t̪ˈaːt̪ɛ# | Rule 165 : [+lo,+syl] > [+front,-back] 
#sˌaŋt̪ˈaːt̪ɛ# | Rule 172 : {n̪ n̪;s s;d̪ d̪;t̪ t̪;w w;m m} > {n̪;s;d̪;t̪;w;m} / [+cons] __ 
#sˌaɲt̪ˈaːt̪ɛ# | Rule 175 : ŋ > ɲ / __ [+ant,+distr]
#sˌaɲt̪ʲˈaːt̪ɛ# | Rule 179 : [+cor,+ant,-lat] > [+hi,+front] / [+hi,+front,+cons] __ 
#sˌaɲt̪ʲˈɛːt̪ɛ# | Rule 203 : [+lo,+syl] > [-lo,+front,-tense,-cons,-lat,+cont,.delrel] / [+front,+cons] __ [+cons] [-cons]
#sˌaɲt̪ʲˈie̯t̪ɛ# | Rule 205 : {ˈɛː;ˈɔː} > {ˈi e̯;ˈu o̯} 
#sˌaɲt̪ʲˈie̯t̪ə# | Rule 219 : [-stres,-lo,+syl] > ə 
#sˌaɲt̪ʲˈie̯t̪ə̯# | Rule 220 : ə > ə̯ 
#sˌaɲt̪ʲˈie̯t̪# | Rule 232 : ə̯ > ∅ 
#sˌaɲt̪ʲˈiːe̯t̪# | Rule 251 : [+prim] > [+long] / __ [-cons]
#sˌaɲt̪ʲˈie̯t̪# | Rule 255 : [+syl] > [-long,-splng] / __ e̯
#sˌaɲjt̪ˈie̯t̪# | Rule 275 : {t̪ʲ;d̪ʲ;sʲ;zʲ;rʲ} > {j t̪;j d̪;j s;j z;j r} 
#sˌaɲt̪ˈie̯t̪# | Rule 276 : j > ∅ / [+hi,+front,-syl] __ [-syl]
#sˌaɲt̪ˈiːe̯t̪# | Rule 283 : [+prim] > [+long] / __ [-cons]
#sˌaɲt̪ˈie̯t̪# | Rule 287 : [+syl] > [-long,-splng] / __ e̯
#sˌajn̪t̪ˈie̯t̪# | Rule 306 : ɲ > j n̪ / __ [+cons]
#sˌaj̃n̪t̪ˈie̯t̪# | Rule 368 : j > j̃ / [+lo,+syl] __ [+nas,-syl]
#sˌãj̃n̪t̪ˈie̯t̪# | Rule 369 : [+lo,+syl] > [+nas,+son,.delrel] / __ [+nas,-syl]
#sˌãj̃n̪t̪jˈet̪# | Rule 414 : {ˈi e̯;ˌɛ a̯;ˈɛ a̯;ˈy ø̯} > {j ˈe;e̯ ˌa;e̯ ˈa;ɥ ˈø} 
#sˌɛ̃j̃n̪t̪jˈet̪# | Rule 418 : [+lo,+nas] > [-lo,-tense,-cons,-lat,+cont,.delrel] / __ j̃
#sˌɛ̃j̃n̪t̪jˈɛt̪# | Rule 453 : ˈe > ˈɛ 
#sˌɛ̃n̪t̪jˈɛt̪# | Rule 457 : j̃ > ∅ / [+nas,+front,-tense] __ 
#sˌɛ̃ːt̪jˈɛt̪# | Rule 503 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#sˌɛ̃ːt̪jˈɛ# | Rule 523 : [-son] > ∅ / __ #
#sɛ̃ːt̪jɛ# | Rule 535 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#sɛ̃t̪jɛ# | Rule 536 : [+syl,+long] > [-long,-splng] 
