Trajectory file for run 'run1'; etymon number :976:
#pˌullikˈen̪uum# >>> #puw?izʲjøw# ( Correct : #pusɛ̃#) :
p ˌu l l i k ˈe n̪ u u m 
#pˌulʲlʲikˈen̪uum# | Rule 2 : l l > lʲ lʲ / __ [+hi,+front]
#pˌʊlʲlʲɪkˈɛn̪ʊʊm# | Rule 16 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#pˌʊlʲlʲɪkˈɛn̪wʊm# | Rule 25 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,.stres,.prim,-cons,-lat,+cont,.delrel] / __ [+syl]
#pˌolʲlʲekˈɛn̪wom# | Rule 52 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#pˌolʲlʲekˈɛn̪wo# | Rule 57 : m > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#pˌolʲlʲekʲˈɛn̪wo# | Rule 62 : [+hi,+back,-cont] > [+front] / __ [+cont,-lo,+front]
#pˌolʲlʲecˈɛn̪wo# | Rule 63 : [+back,+front] > [-back] 
#pˌolʲlʲecˈɛːn̪wo# | Rule 76 : [+prim] > [+long] / __ [+cons] [-cons]
#pˌolʲlʲecˈie̯n̪wo# | Rule 124 : {ˈɛː;ˈɔː} > {ˈi e̯;ˈu o̯} 
#pˌoʎlʲecˈie̯n̪wo# | Rule 127 : [+lat] > ʎ / __ [+cons,+hi,+front]
#pˌoʎlʲet͡sʲˈie̯n̪wo# | Rule 135 : {c;ɟ} > {t͡sʲ;d͡ʒ} 
#pˌoʎʎet͡sʲˈie̯n̪wo# | Rule 157 : [+lat] > ʎ / [+hi,+front,+cons] __ 
#pˌoʎʎet͡sʲˈiːe̯n̪wo# | Rule 166 : [+prim] > [+long] / __ [-cons]
#pˌoʎʎet͡sʲˈie̯n̪wo# | Rule 170 : [+syl] > [-long,-splng] / __ e̯
#pˌoʎ?et͡sʲˈie̯n̪wo# | Rule 193 : [+hi,+front,-syl,+cont] > [-cont,-son,-delrel,+cons,.tense] / [+cons] __ [+syl]
#pˌoʎ?et͡sʲˈie̯n̪wo# | Rule 195 : [+hi,+front,-cont,-ant] > [+delrel,+cor,-hi,+strid,+distr,-son] 
#pˌoʎ?ət͡sʲˈie̯n̪wə# | Rule 198 : [-stres,-lo,+syl] > ə 
#pˌoʎ?ə̯t͡sʲˈie̯n̪wə̯# | Rule 199 : ə > ə̯ 
#pˌoʎ?ət͡sʲˈie̯n̪wə̯# | Rule 202 : ə̯ > ə / __ [+front,+cons]
#pˌoʎ?ət͡sʲˈie̯n̪w# | Rule 211 : ə̯ > ∅ 
#pˌoʎ?ət͡sʲˈiːe̯n̪w# | Rule 230 : [+prim] > [+long] / __ [-cons]
#pˌoʎ?ət͡sʲˈie̯n̪w# | Rule 234 : [+syl] > [-long,-splng] / __ e̯
#pˌoʎ?əd͡zʲˈie̯n̪w# | Rule 246 : [-voi] > [+voi] / [+syl] __ [+syl]
#pˌoʎ?əd͡zʲˈiːe̯n̪w# | Rule 262 : [+prim] > [+long] / __ [-cons]
#pˌoʎ?əd͡zʲˈie̯n̪w# | Rule 266 : [+syl] > [-long,-splng] / __ e̯
#pˌoʎ?əd͡zʲˈie̯ww# | Rule 310 : [+cont,+cons,+voi] > w / __ w
#pˌo??əd͡zʲˈie̯ww# | Rule 345 : [+lat] > [+back] / __ [+cons]
#pˌu??əd͡zʲˈie̯ww# | Rule 365 : [+round,+tense,+back] > [+hi] 
#pˌuw?əd͡zʲˈie̯ww# | Rule 382 : [+lat,+back] > w 
#pˌuw?id͡zʲˈie̯ww# | Rule 388 : {e;ə} > {i;i} / __ [+hi,+front,+cons]
#pˌuw?id͡zʲjˈeww# | Rule 391 : {ˈi e̯;ˌɛ a̯;ˌɛ a̯;ˈy ø̯} > {j ˈe;e̯ ˈa;e̯ ˌa;ɥ ˈø} 
#pˌuw?id͡zʲjˈøww# | Rule 392 : [-hi,-lo,+tense,+syl] > [+round,+lab] / __ w
#pˌuw?id͡zʲjˈøw# | Rule 396 : w > ∅ / [+round,+front,-hi,+syl] __ 
#pˌuw?izʲjˈøw# | Rule 424 : [+delrel] > [+cont,.delrel] 
#puw?izʲjøw# | Rule 512 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
