Trajectory file for run 'run1'; etymon number :868:
#pˌerpet̪ˈɑːn̪eum# >>> #paʁpɛ̃# ( Correct : #paʁpɛ̃#) :
p ˌe r p e t̪ ˈɑː n̪ e u m 
#pˌɛrpɛt̪ˈɑːn̪ɛʊm# | Rule 12 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,0delrel] 
#pˌɛrpɛt̪ˈɑːn̪jʊm# | Rule 21 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,0stres,0prim,-cons,-lat,+cont,0delrel] / __ [+syl]
#pˌɛrpɛt̪ˈɑːn̪ʝʊm# | Rule 26 : j > ʝ / __ [+syl]
#pˌɛrpɛt̪ˈɑn̪ʝʊm# | Rule 55 : [+syl,+long] > [-long,-splng] 
#pˌɛrpɛt̪ˈɑn̪ʝom# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,0delrel] 
#pˌɛrpɛt̪ˈɑn̪ʝo# | Rule 70 : [+nas,+cons] > ∅ / [-stres] __ #
#pˌɛrpɛt̪ˈɑɲo# | Rule 91 : [+nas,+cor] [+hi,+front,-syl,+voi,+cont] > ɲ
#pˌɛrpɛt̪ˈɑːɲo# | Rule 111 : [+prim] > [+long] / __ [+cons] [-cons]
#pˌɛrpɛt̪ˈaːɲo# | Rule 200 : [+lo] > [+front,-back] 
#pˌɛrpɛt̪ˈaɲo# | Rule 230 : [-hi,+tense,+syl] > [-long,-splng] / __ ɲ
#pˌɛrpət̪ˈaɲo# | Rule 267 : [-stres,-lo] > ə / __ [-syl] ( [-syl] )* [+lo,+prim]
#pˌɛrpət̪ˈaɲə# | Rule 271 : [-stres,-lo,+syl] > ə / __ #
#pˌɛrpə̯t̪ˈaɲə̯# | Rule 279 : ə > ə̯ 
#pˌɛrpət̪ˈaɲə̯# | Rule 296 : ə̯ > ə / [+cons] p __ [-cont] ( [-syl] )* [+prim]
#pˌɛrpət̪ˈaɲ# | Rule 303 : ə̯ > ∅ 
#pˌɛrpəd̪ˈaɲ# | Rule 356 : [-voi] > [+voi] / [-cons] __ [-cons]
#pˌɛrpəðˈaɲ# | Rule 382 : [-delrel,+voi] > [+cont,0delrel] / [-cons] __ [-cons]
#pˌɨrpəðˈaɲ# | Rule 429 : ˌɛ > ˌɨ / __ [+cor,-nas,+cont] [+cons,-nas]
#pˌɛrpəðˈaɲ# | Rule 435 : {ˌɨ;ˌɯ} > {ˌɛ;ˌɔ} 
#pˌɛrpəðˈãɲ# | Rule 517 : [+lo] > [+nas,+son,0delrel] / __ [+nas,-syl]
#pˌɛrpəðˈãj̃ɲ# | Rule 525 : ∅ > j̃ / [+tense,+syl] __ ɲ #
#pˌɛrpəðˈɛ̃j̃ɲ# | Rule 592 : [+lo,+nas] > [-lo,-tense,-cons,-lat,+cont,0delrel] / __ j̃
#pˌarpəðˈɛ̃j̃ɲ# | Rule 602 : ˌɛ > ˌa / [+lab,-strid,+cons] __ r p
#pˌarpəˈɛ̃j̃ɲ# | Rule 605 : {θ;ð} > {∅;∅} 
#pˌarpəˈɛ̃j̃n̪# | Rule 651 : ɲ > n̪ / __ #
#pˌarpə̯ˈɛ̃j̃n̪# | Rule 653 : ə > ə̯ / __ [-cons]
#pˌarpə̯ˈɛ̃n̪# | Rule 664 : j̃ > ∅ / [+nas,+front,-tense] __ 
#pˌarpə̯ˈɛ̃ː# | Rule 676 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ #
#pˌarpˈɛ̃ː# | Rule 708 : ə̯ > ∅ / __ [-cons]
#pˌaɹpˈɛ̃ː# | Rule 723 : r > ɹ / [-cons] __ [+cons]
#pˌarpˈɛ̃ː# | Rule 744 : ɹ > r 
#pˌaʀpˈɛ̃ː# | Rule 746 : r > ʀ 
#paʀpɛ̃ː# | Rule 747 : [+stres] > [-stres,-prim,+syl,+son,0delrel] 
#paʀpɛ̃# | Rule 749 : [+syl,+long] > [-long,-splng] 
#paʁpɛ̃# | Rule 755 : ʀ > ʁ 
