Trajectory file for run 'run1'; etymon number :1066:
#sˌɑːn̪kt̪it̪ˈɑːt̪em# >>> #sɛ̃t̪e# ( Correct : #sɛ̃t̪ət̪e#) :
s ˌɑː n̪ k t̪ i t̪ ˈɑː t̪ e m 
#sˌɑːŋkt̪it̪ˈɑːt̪em# | Rule 0 : n̪ > ŋ / __ [+hi,+back,-cont]
#sˌɑːŋkt̪ɪt̪ˈɑːt̪ɛm# | Rule 12 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,0delrel] 
#sˌɑŋkt̪ɪt̪ˈɑt̪ɛm# | Rule 55 : [+syl,+long] > [-long,-splng] 
#sˌɑŋt̪ɪt̪ˈɑt̪ɛm# | Rule 58 : k > ∅ / ŋ __ [+cor,-voi]
#sˌɑŋt̪et̪ˈɑt̪ɛm# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,0delrel] 
#sˌɑŋt̪et̪ˈɑt̪ɛ# | Rule 70 : [+nas,+cons] > ∅ / [-stres] __ #
#sˌɑŋt̪et̪ˈɑːt̪ɛ# | Rule 111 : [+prim] > [+long] / __ [+cons] [-cons]
#sˌɑɲt̪et̪ˈɑːt̪ɛ# | Rule 174 : ŋ > ɲ / __ [+cor]
#sˌɑɲt̪t̪ˈɑːt̪ɛ# | Rule 195 : [+front,+tense,-lo,-stres] > ∅ / __ [+cor] [+lo,+long]
#sˌaɲt̪t̪ˈaːt̪ɛ# | Rule 200 : [+lo] > [+front,-back] 
#sˌaɲt̪ˈaːt̪ɛ# | Rule 207 : {n̪ n̪;s s;d̪ d̪;t̪ t̪;w w;m m} > {n̪;s;d̪;t̪;w;m} / [+cons] __ 
#sˌaɲt̪ʲˈaːt̪ɛ# | Rule 217 : [+cor,+ant,-lat] > [+hi,+front] / [+hi,+front,+cons] __ 
#sˌaɲt̪ʲˈɛːt̪ɛ# | Rule 244 : ˈaː > ˈɛː / [+cons,+front] __ [+cons,-front,-nas]
#sˌaɲt̪ʲˈie̯t̪ɛ# | Rule 246 : {ˈɛː;ˈɔː} > {ˈi e̯;ˈu o̯} 
#sˌaɲt̪ʲˈie̯t̪ə# | Rule 271 : [-stres,-lo,+syl] > ə / __ #
#sˌaɲt̪ʲˈie̯t̪ə̯# | Rule 279 : ə > ə̯ 
#sˌaɲt̪ʲˈie̯t̪# | Rule 303 : ə̯ > ∅ 
#sˌaɲt̪ˈie̯t̪# | Rule 393 : {t̪ʲ;d̪ʲ;sʲ;zʲ;n̪ʲ;d͡zʲ} > {t̪;d̪;s;z;n̪;d͡z} / [+hi,+front,-syl] __ 
#sˌaɲt̪ʲˈie̯t̪# | Rule 397 : [+cor] > [+hi,+front] / [+front,+hi] __ [+hi,+front]
#sˌaɲt̪ʲˈie̯θ# | Rule 446 : [-delrel] > [+cont,0delrel] / [-cons] __ #
#sˌaj̃n̪t̪ʲˈie̯θ# | Rule 451 : ɲ > j̃ n̪ / __ [+cons]
#sˌãj̃n̪t̪ʲˈie̯θ# | Rule 517 : [+lo] > [+nas,+son,0delrel] / __ [+nas,-syl]
#sˌɛ̃j̃n̪t̪ʲˈie̯θ# | Rule 592 : [+lo,+nas] > [-lo,-tense,-cons,-lat,+cont,0delrel] / __ j̃
#sˌɛ̃j̃n̪t̪ʲjˈeθ# | Rule 600 : {ˈi e̯;ˌɛ a̯;ˈɛ a̯;ˈy ø̯} > {j ˈe;e̯ ˌa;e̯ ˈa;ɥ ˈø} 
#sˌɛ̃j̃n̪t̪ʲjˈe# | Rule 605 : {θ;ð} > {∅;∅} 
#sˌɛ̃n̪t̪ʲjˈe# | Rule 664 : j̃ > ∅ / [+nas,+front,-tense] __ 
#sˌɛ̃n̪t̪ʲˈe# | Rule 668 : j > ∅ / [+front,+cons] __ [+front,-hi,-lo,-round,+syl,-nas]
#sˌɛ̃n̪t̪ˈe# | Rule 669 : [+ant,+front] > [-front,-hi] 
#sˌɛ̃ːt̪ˈe# | Rule 675 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#sɛ̃ːt̪e# | Rule 747 : [+stres] > [-stres,-prim,+syl,+son,0delrel] 
#sɛ̃t̪e# | Rule 749 : [+syl,+long] > [-long,-splng] 
