Trajectory file for run 'run1'; etymon number :225:
#ˌekskˈort̪ikˈɑːre# >>> #ekɔʁʃe# ( Correct : #ekɔʁʃe#) :
ˌe k s k ˈo r t̪ i k ˈɑː r e 
#ˌɛkskˈɔrt̪ɪkˈɑːrɛ# | Rule 12 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,0delrel] 
#ˌɛkskˈɔrt̪ɪkˈɑrɛ# | Rule 55 : [+syl,+long] > [-long,-splng] 
#ˌɛskˈɔrt̪ɪkˈɑrɛ# | Rule 59 : k > ∅ / __ s [+cons]
#ˌɛskˈɔrt̪ekˈɑrɛ# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,0delrel] 
#ˌɛskˈɔrt̪ekˈɑːrɛ# | Rule 111 : [+prim] > [+long] / __ [+cons] [-cons]
#ˌɛskˈɔrt̪kˈɑːrɛ# | Rule 133 : e > ∅ / __ k [+lo]
#ˌɛskˈɔrt̪kˈaːrɛ# | Rule 200 : [+lo] > [+front,-back] 
#ˌɛskˈɔrt̪kʲˈaːrɛ# | Rule 236 : [+hi,+back,+cons] > [+front] / __ [+front,+syl]
#ˌɛskˈɔrt̪kʲˈɛːrɛ# | Rule 244 : ˈaː > ˈɛː / [+cons,+front] __ [+cons,-front,-nas]
#ˌɛskˈɔrt̪kʲˈie̯rɛ# | Rule 246 : {ˈɛː;ˈɔː} > {ˈi e̯;ˈu o̯} 
#ˌɛskˈɔrt̪cˈie̯rɛ# | Rule 249 : [+back,+front] > [-back] 
#ˌɛskˈɔrt̪t͡ʃˈie̯rɛ# | Rule 258 : [+hi,+front,-cont,-ant] > [+delrel,+cor,-hi,+strid,+distr,-son,-cont,+cons,0tense] 
#ˌɛskˈɔrt̪t͡ʃˈie̯rə# | Rule 271 : [-stres,-lo,+syl] > ə / __ #
#ˌɛskˈɔrt̪t͡ʃˈie̯rə̯# | Rule 279 : ə > ə̯ 
#ˌɛskˈɔrt̪t͡ʃˈie̯r# | Rule 303 : ə̯ > ∅ 
#ˌɛskˈɔrt͡ʃˈie̯r# | Rule 340 : {d̪ d̪;t̪ t̪;t̪ t͡s;d̪ d͡ʒ;t̪ t͡ʃ;ɟ ɟ;c c;ɡ ɡ;k k;s s;m m;l l;ɫ l} > {d̪;t̪;t͡s;d͡ʒ;t͡ʃ;ɟ;c;ɡ;k;s;m;l;l} / [+cons] __ 
#ˌeskˈɔrt͡ʃˈie̯r# | Rule 428 : ˌɛ > ˌe / # __ [+cor,+cont]
#ˌexkˈɔrt͡ʃˈie̯r# | Rule 596 : [-distr,+strid,-voi] > x / [-cons] __ [+cons]
#ˌexkˈɔrt͡ʃjˈer# | Rule 600 : {ˈi e̯;ˌɛ a̯;ˈɛ a̯;ˈy ø̯} > {j ˈe;e̯ ˌa;e̯ ˈa;ɥ ˈø} 
#ˌexkˈɔrʃjˈer# | Rule 639 : [+delrel] > [+cont,0delrel] 
#ˌeːkˈɔrʃjˈer# | Rule 645 : [+syl] x > [+long] ∅/ __ [+cons]
#ˌekˈɔrʃjˈer# | Rule 647 : ˌeː > ˌe 
#ˌekˈɔrʃˈer# | Rule 668 : j > ∅ / [+front,+cons] __ [+front,-hi,-lo,-round,+syl,-nas]
#ˌekˈɔrʃˈeɹ# | Rule 722 : r > ɹ / [-cons] __ #
#ˌekˈɔɹʃˈeɹ# | Rule 723 : r > ɹ / [-cons] __ [+cons]
#ˌekˈɔɹʃˈe# | Rule 742 : ɹ > ∅ / [+syl] ( [-syl] )* [-hi,+front,+tense,-lo] __ #
#ˌekˈɔrʃˈe# | Rule 744 : ɹ > r 
#ˌekˈɔʀʃˈe# | Rule 746 : r > ʀ 
#ekɔʀʃe# | Rule 747 : [+stres] > [-stres,-prim,+syl,+son,0delrel] 
#ekɔʁʃe# | Rule 755 : ʀ > ʁ 
