Trajectory file for run 'run1'; etymon number :1210:
#t̪ˌest̪imˈoːn̪ium# >>> #t̪ɛmwɛ̃# ( Correct : #t̪emwɛ̃#) :
t̪ ˌe s t̪ i m ˈoː n̪ i u m 
#t̪ˌɛst̪ɪmˈoːn̪ɪʊm# | Rule 12 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#t̪ˌɛst̪ɪmˈoːn̪jʊm# | Rule 21 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,.stres,.prim,-cons,-lat,+cont,.delrel] / __ [+syl]
#t̪ˌɛst̪ɪmˈoːn̪ʝʊm# | Rule 24 : j > ʝ / __ [+syl]
#t̪ˌɛst̪ɪmˈon̪ʝʊm# | Rule 42 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#t̪ˌɛst̪emˈon̪ʝom# | Rule 52 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#t̪ˌɛst̪emˈon̪ʝo# | Rule 57 : m > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#t̪ˌɛst̪emˈoɲo# | Rule 70 : [+nas,+cor] [+hi,+front,-syl,+voi,+cont] > ɲ
#t̪ˌɛst̪emˈoːɲo# | Rule 79 : [+prim] > [+long] / __ [+cons] [-cons]
#t̪ˌɛst̪əmˈoːɲə# | Rule 201 : [-stres,-lo,+syl] > ə 
#t̪ˌɛst̪ə̯mˈoːɲə̯# | Rule 202 : ə > ə̯ 
#t̪ˌɛst̪mˈoːɲ# | Rule 214 : ə̯ > ∅ 
#t̪ˌɛst̪mˈoɲ# | Rule 228 : [+syl] > [-long,-splng] / __ [+cons] #
#t̪ˌɛsd̪mˈoɲ# | Rule 251 : t̪ > d̪ / __ [+nas]
#t̪ˌɛsd̪mˈuɲ# | Rule 256 : [+syl,-hi,-lo,+round] > [+hi,+tense,-cons,-lat,+cont,.delrel] / __ [+nas,+cons]
#t̪ˌesd̪mˈuɲ# | Rule 278 : {ˌɛ;ˌɔ} > {ˌe;ˌo} 
#t̪ˌesmˈuɲ# | Rule 311 : [+cons] > ∅ / [+cons] __ [-son]
#t̪ˌezmˈuɲ# | Rule 315 : s > z / __ [+voi,+cons]
#t̪ˌeːzmˈuɲ# | Rule 354 : [+syl] > [+long] / __ z [+cons]
#t̪ˌeːmˈuɲ# | Rule 355 : z > ∅ / __ [+cons]
#t̪ˌeːmˈujɲ# | Rule 370 : ∅ > j / [+hi,+round,+syl] __ ɲ #
#t̪ˌẽːmˈujɲ# | Rule 406 : [+syl,-hi] > [+nas,+son,.delrel] / __ [+nas]
#t̪ˌẽːmwˈiɲ# | Rule 409 : {u j;ˌu j;ˈu j;ɔ j;ˌɔ j;ˈɔ j} > {w i;w ˌi;w ˈi;w i;w ˌi;w ˈi} / __ [+nas]
#t̪ˌẽːmwˈĩɲ# | Rule 419 : [+syl] > [+nas,+son,.delrel] / __ [+nas,+cons]
#t̪ˌẽːmwˈĩn̪# | Rule 428 : ɲ > n̪ / __ #
#t̪ˌɛ̃ːmwˈɛ̃n̪# | Rule 438 : [+nas,+front,-round,-lo,+syl] > [-hi,-tense,-cons,-lat,+cont,.delrel] 
#t̪ˌɛ̃ːmwˈɛ̃ː# | Rule 486 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ #
#t̪ˌɛːmwˈɛ̃ː# | Rule 509 : [+front,-round,+syl,+nas] > [-nas] / __ [+cons,+nas] [-cons]
#t̪ɛːmwɛ̃ː# | Rule 517 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#t̪ɛmwɛ̃# | Rule 518 : [+syl,+long] > [-long,-splng] 
