Trajectory file for run 'run1'; etymon number :1315:
#wˌest̪iːmˈen̪t̪um# >>> #vimɛ̃# ( Correct : #vɛt̪mɑ̃#) :
w ˌe s t̪ iː m ˈe n̪ t̪ u m 
#ɣʷˌest̪iːmˈen̪t̪um# | Rule 4 : {j;w} > {ʝ;ɣʷ} / __ [+syl]
#ɣʷˌɛst̪iːmˈɛn̪t̪ʊm# | Rule 14 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,0delrel] 
#βʷˌɛst̪iːmˈɛn̪t̪ʊm# | Rule 49 : ɣʷ > βʷ 
#βʷˌɛst̪imˈɛn̪t̪ʊm# | Rule 54 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,0delrel] 
#βʷˌɛst̪imˈɛn̪t̪om# | Rule 64 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,0delrel] 
#βʷˌɛst̪imˈɛn̪t̪o# | Rule 69 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#βˌɛst̪imˈɛn̪t̪o# | Rule 155 : {βʷ;ɸʷ} > {β;ɸ} 
#βˌɛst̪əmˈɛn̪t̪o# | Rule 260 : [-stres,-lo,+syl] > ə / __ [-syl]
#βˌɛst̪əmˈɛn̪t̪ə# | Rule 261 : [-stres,-lo,+syl] > ə / __ #
#βˌɛst̪ə̯mˈɛn̪t̪ə̯# | Rule 263 : ə > ə̯ 
#βˌɛst̪mˈɛn̪t̪# | Rule 297 : ə̯ > ∅ 
#βˌɛsʲt̪ʲmˈɛn̪ʲt̪ʲ# | Rule 320 : [+cor,+ant,-lat] > [+hi,+front] 
#βˌɛsʲt̪mˈɛn̪ʲt̪# | Rule 379 : {t̪ʲ;d̪ʲ;sʲ;zʲ;n̪ʲ;d͡zʲ} > {t̪;d̪;s;z;n̪;d͡z} / [+hi,+front,-syl] __ 
#βˌɛjst̪mˈɛjn̪t̪# | Rule 380 : {t̪ʲ;d̪ʲ;sʲ;zʲ;n̪ʲ;d͡zʲ} > {j t̪;j d̪;j s;j z;j n̪;j d͡z} / [-cons] __ 
#βˌejst̪mˈɛjn̪t̪# | Rule 409 : ˌɛ > ˌe / __ [-cor]
#vˌejst̪mˈɛjn̪t̪# | Rule 423 : β > v 
#vˌejsmˈɛjn̪t̪# | Rule 460 : [+cons] > ∅ / [+cons] __ [+nas,+cons]
#vˌejzmˈɛjn̪t̪# | Rule 464 : s > z / __ [+voi,+cons]
#vˌejzmˈɛj̃n̪t̪# | Rule 503 : j > j̃ / [+front,-hi,+syl] __ [+nas,-syl]
#vˌejzmˈɛ̃j̃n̪t̪# | Rule 504 : [+front,-hi,+syl] > [+nas,+son,0delrel] / __ [+nas,-syl]
#vˌizmˈɛ̃j̃n̪t̪# | Rule 505 : ˌe j > ˌi / __ z
#vˌiːzmˈɛ̃j̃n̪t̪# | Rule 516 : [+stres] > [+long] / @ __ z [+cons] [+syl] [-cons]
#vˌiːmˈɛ̃j̃n̪t̪# | Rule 517 : z > ∅ / __ [+cons]
#vˌĩːmˈɛ̃j̃n̪t̪# | Rule 621 : [+syl] > [+nas,+son,0delrel] / __ [+nas,+cons]
#vˌiːmˈɛ̃j̃n̪t̪# | Rule 645 : [+nas,+front,+hi,+syl] > [-nas] / __ [+nas,+cons] [-cons]
#vˌiːmˈɛ̃n̪t̪# | Rule 648 : j̃ > ∅ / [+nas,+front,-tense] __ 
#vˌiːmˈɛ̃ːt̪# | Rule 651 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#vˌiːmˈɛ̃ː# | Rule 718 : [-son] > ∅ / __ #
#viːmɛ̃ː# | Rule 734 : [+stres] > [-stres,-prim,+syl,+son,0delrel] 
#vimɛ̃# | Rule 735 : [+syl,+long] > [-long,-splng] 
