Trajectory file for run 'run1'; etymon number :1047:
#sˌɑkrɑmˈen̪t̪um# >>> #sɛʁmɑ̃# ( Correct : #sɛʁmɑ̃#) :
s ˌɑ k r ɑ m ˈe n̪ t̪ u m 
#sˌɑkrɑmˈɛn̪t̪ʊm# | Rule 12 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,0delrel] 
#sˌɑkrɑmˈɛn̪t̪om# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,0delrel] 
#sˌɑkrɑmˈɛn̪t̪o# | Rule 70 : [+nas,+cons] > ∅ / [-stres] __ #
#sˌɑxrɑmˈɛn̪t̪o# | Rule 117 : [+hi,+back,-cont] > [+cont,0delrel] / [-cons] __ [+cor,+cons]
#sˌaxramˈɛn̪t̪o# | Rule 200 : [+lo] > [+front,-back] 
#sˌaçramˈɛn̪t̪o# | Rule 209 : [+back,+hi,+cont,-son] > [-back,+front] / __ [+cor]
#sˌaçrʲamˈɛn̪t̪o# | Rule 217 : [+cor,+ant,-lat] > [+hi,+front] / [+hi,+front,+cons] __ 
#sˌarʲamˈɛn̪t̪o# | Rule 248 : [+hi,+front,-lat,-syl] > ∅ / __ rʲ
#sˌarʲamˈɛn̪t̪ə# | Rule 271 : [-stres,-lo,+syl] > ə / __ #
#sˌarʲamˈɛn̪t̪ə̯# | Rule 279 : ə > ə̯ 
#sˌarʲamˈɛn̪t̪# | Rule 303 : ə̯ > ∅ 
#sˌajrʲamˈɛn̪t̪# | Rule 354 : ∅ > j / [-cons] __ rʲ
#sˌajramˈɛn̪t̪# | Rule 392 : rʲ > r 
#sˌajrəmˈɛn̪t̪# | Rule 449 : a > ə / [+syl] ( [-syl] )* __ 
#sˌajrəmˈɛ̃n̪t̪# | Rule 528 : [+front,-hi,+syl] > [+nas,+son,0delrel] / __ [+nas,-syl]
#sˌajrəmˈãn̪t̪# | Rule 582 : [+nas,-hi,+syl] > [+lo,+tense,-cons,-lat,+cont,0delrel] / __ [+cons]
#sˌɛjrəmˈãn̪t̪# | Rule 613 : [+syl,-round,-hi] > [-lo,-tense,-cons,-lat,+cont,0delrel] / __ j [+cons]
#sˌɛjrə̃mˈãn̪t̪# | Rule 620 : [+syl,-front] > [+nas,+son,0delrel] / __ [+nas,-syl]
#sˌɛjrəmˈãn̪t̪# | Rule 632 : ə̃ > ə 
#sˌɛrəmˈãn̪t̪# | Rule 634 : j > ∅ / [-round,-tense,+stres] __ [+cons]
#sˌɛrə̃mˈãn̪t̪# | Rule 642 : [+syl,-hi] > [+nas,+son,0delrel] / __ [+nas,+cons]
#sˌɛrəmˈãn̪t̪# | Rule 644 : {ə̃;ˌə̃} > {ə;ˌə} 
#sˌɛrəmˈãːt̪# | Rule 675 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#sˌɛrmˈãːt̪# | Rule 684 : ə > ∅ / [+stres] [+cor,+son,+cons] __ [+cons] ( [-syl] )* [+stres]
#sˌɛrmˈɑ̃ːt̪# | Rule 714 : [+lo,+long,+syl] > [+back,-front] 
#sˌɛɹmˈɑ̃ːt̪# | Rule 723 : r > ɹ / [-cons] __ [+cons]
#sˌɛɹmˈɑ̃ː# | Rule 729 : [-son] > ∅ / __ #
#sˌɛrmˈɑ̃ː# | Rule 744 : ɹ > r 
#sˌɛʀmˈɑ̃ː# | Rule 746 : r > ʀ 
#sɛʀmɑ̃ː# | Rule 747 : [+stres] > [-stres,-prim,+syl,+son,0delrel] 
#sɛʀmɑ̃# | Rule 749 : [+syl,+long] > [-long,-splng] 
#sɛʁmɑ̃# | Rule 755 : ʀ > ʁ 
