Trajectory file for run 'run1'; etymon number :489:
#kˌompˈɑːn̪iˈoːn̪em# >>> #kɔ̃pɛɲɔ̃# ( Correct : #kɔ̃paɲɔ̃#) :
k ˌo m p ˈɑː n̪ i ˈoː n̪ e m 
#kˌɔmpˈɑːn̪ɪˈoːn̪ɛm# | Rule 12 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#kˌɔmpˈɑːn̪jˈoːn̪ɛm# | Rule 21 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,.stres,.prim,-cons,-lat,+cont,.delrel] / __ [+syl]
#kˌɔmpˈɑːn̪ʝˈoːn̪ɛm# | Rule 24 : j > ʝ / __ [+syl]
#kˌɔmpˈɑːn̪ʝˈon̪ɛm# | Rule 42 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#kˌɔmpˈɑn̪ʝˈon̪ɛm# | Rule 43 : [+syl,+long] > [-long,-splng] 
#kˌɔmpˈɑn̪ʝˈon̪ɛ# | Rule 57 : m > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#kˌɔmpˈɑɲˈon̪ɛ# | Rule 71 : [+nas,+cor] [+hi,+front,-syl,+voi,+cont] > ɲ
#kˌɔmpˈɑːɲˈoːn̪ɛ# | Rule 80 : [+prim] > [+long] / __ [+cons] [-cons]
#kˌɔmpˈaːɲˈoːn̪ɛ# | Rule 150 : [+lo,+syl] > [+front,-back] 
#kˌɔmpˈaːɲˈoːn̪ə# | Rule 204 : [-stres,-lo,+syl] > ə 
#kˌɔmpˈaːɲˈoːn̪ə̯# | Rule 205 : ə > ə̯ 
#kˌɔmpˈaːɲˈoːn̪# | Rule 217 : ə̯ > ∅ 
#kˌɔmpˈaːɲˈon̪# | Rule 231 : [+syl] > [-long,-splng] / __ [+cons] #
#kˌumpˈaːɲˈun̪# | Rule 259 : [+syl,-hi,-lo,+round] > [+hi,+tense,-cons,-lat,+cont,.delrel] / __ [+nas,+cons]
#kˌumpˈae̯ɲˈun̪# | Rule 278 : {ˈaː;ˈeː;ˈoː;ˈɛː} > {ˈa e̯;ˈe j;ˈo w;ˈi e̯} 
#kˌumpˈeːɲˈun̪# | Rule 310 : {a e̯;ˌa e̯;ˈa e̯} > {eː;ˌeː;ˈeː} 
#kˌum̥pˈeːɲˈun̪# | Rule 336 : [-son] > [-voi] / __ [-voi]
#kˌum̥pˈẽːɲˈun̪# | Rule 356 : [+front,-hi,+syl] > [+nas,+son,.delrel] / __ [+nas,-syl]
#kˌum̥pˈẽːj̃ɲˈun̪# | Rule 376 : ∅ > j̃ / [-hi,-lo,+front,-round,+tense,+stres] __ ɲ [+syl]
#kˌum̥pˈɛ̃ːj̃ɲˈun̪# | Rule 380 : [+front,-hi,-lo,+syl,+nas] > [-tense,-cons,-lat,+cont,.delrel] 
#kˌum̥pˈæ̃ːj̃ɲˈun̪# | Rule 385 : [+nas,-hi,+syl] > [+lo] 
#kˌum̥pˈɛ̃ːj̃ɲˈun̪# | Rule 403 : [+lo,+nas] > [-lo,-tense,-cons,-lat,+cont,.delrel] / __ j̃
#kˌũm̥pˈɛ̃ːj̃ɲˈũn̪# | Rule 408 : [+syl,-front] > [+nas,+son,.delrel] / __ [+nas]
#kˌũm̥pˈɛ̃ːɲˈũn̪# | Rule 442 : j̃ > ∅ / [+nas,+front,-tense] __ 
#kˌũːpˈɛ̃ːɲˈũn̪# | Rule 488 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#kˌũːpˈɛ̃ːɲˈũː# | Rule 489 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ #
#kˌũːpˈɛːɲˈũː# | Rule 512 : [+front,-round,+syl,+nas] > [-nas] / __ [+cons,+nas] [-cons]
#kũːpɛːɲũː# | Rule 520 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#kũpɛɲũ# | Rule 521 : [+syl,+long] > [-long,-splng] 
#kɔ̃pɛɲɔ̃# | Rule 522 : [+back,-lo,+nas,+syl] > ɔ̃ 
