Trajectory file for run 'run1'; etymon number :1203:
#t̪ˌest̪imˈoːn̪ium# >>> #t̪ɛmwan̪# ( Correct : #t̪emwɛ̃#) :
t̪ ˌe s t̪ i m ˈoː n̪ i u m 
#t̪ˌɛst̪ɪmˈoːn̪ɪʊm# | Rule 12 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#t̪ˌɛst̪ɪmˈoːn̪jʊm# | Rule 21 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,.stres,.prim,-cons,-lat,+cont,.delrel] / __ [+syl]
#t̪ˌɛst̪ɪmˈoːn̪ʝʊm# | Rule 24 : j > ʝ / __ [+syl]
#t̪ˌɛst̪ɪmˈon̪ʝʊm# | Rule 47 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#t̪ˌɛst̪emˈon̪ʝom# | Rule 57 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#t̪ˌɛst̪emˈon̪ʝo# | Rule 62 : m > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#t̪ˌɛst̪emˈoɲo# | Rule 76 : [+nas,+cor] [+hi,+front,-syl,+voi,+cont] > ɲ
#t̪ˌɛst̪emˈoːɲo# | Rule 87 : [+prim] > [+long] / __ [+cons] [-cons]
#t̪ˌɛst̪əmˈoːɲə# | Rule 204 : [-stres,-lo,+syl] > ə 
#t̪ˌɛst̪ə̯mˈoːɲə̯# | Rule 205 : ə > ə̯ 
#t̪ˌɛst̪mˈoːɲ# | Rule 217 : ə̯ > ∅ 
#t̪ˌɛsd̪mˈoːɲ# | Rule 249 : t̪ > d̪ / __ [+nas]
#t̪ˌɛsd̪mˈuːɲ# | Rule 254 : [+syl,-hi,-lo,+round] > [+hi,+tense,-cons,-lat,+cont,.delrel] / __ [+nas,+cons]
#t̪ˌesd̪mˈuːɲ# | Rule 272 : {ˌɛ;ˌɔ} > {ˌe;ˌo} 
#t̪ˌesmˈuːɲ# | Rule 305 : [+cons] > ∅ / [+cons] __ [-son]
#t̪ˌezmˈuːɲ# | Rule 309 : s > z / __ [+voi,+cons]
#t̪ˌeːzmˈuːɲ# | Rule 348 : [+syl] > [+long] / __ z [+cons]
#t̪ˌeːmˈuːɲ# | Rule 349 : z > ∅ / __ [+cons]
#t̪ˌeːmˈuːjɲ# | Rule 364 : ∅ > j / [+hi,+round,+syl] __ ɲ #
#t̪ˌẽːmˈuːjɲ# | Rule 400 : [+syl,-hi] > [+nas,+son,.delrel] / __ [+nas]
#t̪ˌẽːmˈuːɛ̯ɲ# | Rule 405 : j > ɛ̯ / [+syl,+back,+round] __ 
#t̪ˌẽːmˈuːɛ̯n̪# | Rule 422 : ɲ > n̪ / __ #
#t̪ˌɛ̃ːmˈuːɛ̯n̪# | Rule 432 : [+nas,+front,-round,-lo,+syl] > [-hi,-tense,-cons,-lat,+cont,.delrel] 
#t̪ˌɛ̃ːmwˈɛn̪# | Rule 444 : [+back,+round,+syl,+prim] ɛ̯ > w ˈɛ
#t̪ˌɛːmwˈɛn̪# | Rule 503 : [+front,-round,+syl,+nas] > [-nas] / __ [+cons,+nas] [-cons]
#t̪ɛːmwɛn̪# | Rule 511 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#t̪ɛmwɛn̪# | Rule 512 : [+syl,+long] > [-long,-splng] 
#t̪ɛmwan̪# | Rule 516 : ɛ > a / w __ 
