Trajectory file for run 'run1'; etymon number :494:
#kˌompˈɑːn̪iˈoːn̪em# >>> #kɔ̃paɲɔ̃# ( Correct : #kɔ̃paɲɔ̃#) :
k ˌo m p ˈɑː n̪ i ˈoː n̪ e m 
#kˌɔmpˈɑːn̪ɪˈoːn̪ɛm# | Rule 12 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,0delrel] 
#kˌɔmpˈɑːn̪jˈoːn̪ɛm# | Rule 21 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,0stres,0prim,-cons,-lat,+cont,0delrel] / __ [+syl]
#kˌɔmpˈɑːn̪ʝˈoːn̪ɛm# | Rule 26 : j > ʝ / __ [+syl]
#kˌɔmpˈɑn̪ʝˈon̪ɛm# | Rule 55 : [+syl,+long] > [-long,-splng] 
#kˌɔmpˈɑn̪ʝˈon̪ɛ# | Rule 70 : [+nas,+cons] > ∅ / [-stres] __ #
#kˌɔmpˈɑɲˈon̪ɛ# | Rule 91 : [+nas,+cor] [+hi,+front,-syl,+voi,+cont] > ɲ
#kˌɔmpˈɑːɲˈoːn̪ɛ# | Rule 111 : [+prim] > [+long] / __ [+cons] [-cons]
#kˌũmpˈɑːɲˈũːn̪ɛ# | Rule 167 : [+round,-hi] > [+tense,+hi,+nas,-cons,+son,-lat,+cont,0delrel] / __ [+nas]
#kˌũmpˈaːɲˈũːn̪ɛ# | Rule 200 : [+lo] > [+front,-back] 
#kˌũmpˈaɲˈũːn̪ɛ# | Rule 230 : [-hi,+tense,+syl] > [-long,-splng] / __ ɲ
#kˌũmpˈaɲˈũːn̪ə# | Rule 271 : [-stres,-lo,+syl] > ə / __ #
#kˌũmpˈaɲˈũːn̪ə̯# | Rule 279 : ə > ə̯ 
#kˌũmpˈaɲˈũːn̪# | Rule 303 : ə̯ > ∅ 
#kˌũmpˈaːɲˈũːn̪# | Rule 364 : [+prim] > [+long] / __ [+cons] [+syl]
#kˌũmpˈaɲˈũːn̪# | Rule 369 : [-hi,+tense,+syl] > [-long,-splng] / __ ɲ
#kˌũmpˈaːɲˈũːn̪# | Rule 407 : [+prim] > [+long] / __ [+cons] [+syl]
#kˌũmpˈaɲˈũːn̪# | Rule 412 : [-hi,+tense,+syl] > [-long,-splng] / __ ɲ
#kˌũmpˈaɲˈũn̪# | Rule 459 : [+syl] > [-long,-splng] 
#kˌũmpˈãɲˈũn̪# | Rule 517 : [+lo] > [+nas,+son,0delrel] / __ [+nas,-syl]
#kˌũn̪pˈãɲˈũn̪# | Rule 650 : m > n̪ / __ [+cons]
#kˌũːpˈãɲˈũn̪# | Rule 675 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#kˌũːpˈãɲˈũː# | Rule 676 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ #
#kˌũːpˈaɲˈũː# | Rule 738 : [+front,-round,+syl,+nas] > [-nas] / __ [+cons,+nas] [-cons]
#kũːpaɲũː# | Rule 747 : [+stres] > [-stres,-prim,+syl,+son,0delrel] 
#kũpaɲũ# | Rule 749 : [+syl,+long] > [-long,-splng] 
#kɔ̃paɲɔ̃# | Rule 750 : ũ > ɔ̃ 
