Trajectory file for run 'run1'; etymon number :1214:
#t̪ˌest̪imˈoːn̪ium# >>> #t̪eːmwan̪# ( Correct : #t̪emwɛ̃#) :
t̪ ˌe s t̪ i m ˈoː n̪ i u m 
#t̪ˌɛst̪ɪmˈoːn̪ɪʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat] 
#t̪ˌɛst̪ɪmˈoːn̪jʊm# | Rule 24 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,.stres,.prim,-cons,-lat] / __ [+syl]
#t̪ˌɛst̪ɪmˈoːn̪ʝʊm# | Rule 25 : j > ʝ / __ [+syl]
#t̪ˌɛst̪ɪmˈon̪ʝʊm# | Rule 47 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat] 
#t̪ˌɛst̪emˈon̪ʝom# | Rule 50 : [+hi,-tense] > [-hi,+tense,-cons,-lat] 
#t̪ˌɛst̪emˈon̪ʝo# | Rule 55 : m > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#t̪ˌɛst̪emˈoɲo# | Rule 64 : [+nas,+cor] [+hi,+front,-syl,+voi,+cont] > ɲ
#t̪ˌɛst̪emˈoːɲo# | Rule 73 : [+prim] > [+long] / __ [+cons] [-cons]
#t̪ˌɛst̪emˈuːɲo# | Rule 208 : [+syl,-hi,-lo,+round] > [+hi,+tense,-cons,-lat] / __ [+nas,+cons]
#t̪ˌɛst̪əmˈuːɲə# | Rule 229 : [-stres,-lo,+syl] > ə 
#t̪ˌest̪əmˈuːɲə# | Rule 231 : {ˌɛ;ˌɔ} > {ˌe;ˌo} 
#t̪ˌest̪mˈuːɲ# | Rule 235 : ə > ∅ 
#t̪ˌesmˈuːɲ# | Rule 264 : [+cons] > ∅ / [+cons] __ [-son]
#t̪ˌezmˈuːɲ# | Rule 268 : s > z / __ [+voi,+cons]
#t̪ˌeːzmˈuːɲ# | Rule 303 : [+syl] > [+long] / __ z [+cons]
#t̪ˌeːmˈuːɲ# | Rule 304 : z > ∅ / __ [+cons]
#t̪ˌeːmˈuːjɲ# | Rule 318 : ∅ > j / [+hi,+round,+syl] __ ɲ #
#t̪ˌẽːmˈuːjɲ# | Rule 352 : [-cons,-hi] > [+nas,+son,.delrel] / __ [+nas]
#t̪ˌẽːmˈuːɛ̯ɲ# | Rule 358 : j > ɛ̯ / [+syl,+back,+round] __ 
#t̪ˌẽːmˈuːɛ̯n̪# | Rule 375 : ɲ > n̪ / __ #
#t̪ˌɛ̃ːmˈuːɛ̯n̪# | Rule 385 : [+nas,+front,-round,-lo,+syl] > [-hi,-tense,-cons,-lat] 
#t̪ˌɛ̃ːmwˈɛn̪# | Rule 397 : [+back,+round,+syl,+prim] ɛ̯ > w ˈɛ
#t̪ˌẽːmwˈɛn̪# | Rule 450 : [+nas,+front,+syl] > [-hi,+tense,-cons,-lat] 
#t̪ˌeːmwˈɛn̪# | Rule 452 : [+front,-round,+syl,+nas] > [-nas] / __ [+cons,+nas] [-cons]
#t̪eːmwɛn̪# | Rule 459 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#t̪eːmwan̪# | Rule 463 : ɛ > a / w __ 
