Trajectory file for run 'run1'; etymon number :360:
#ˌimperɑːt̪ˈoːrem# >>> #ãːvʁøː# ( Correct : #ɑ̃peʁœʁ#) :
ˌi m p e r ɑː t̪ ˈoː r e m 
#ˌɪmpɛrɑːt̪ˈoːrɛm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat] 
#ˌɪmpɛrɑːt̪ˈorɛm# | Rule 47 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat] 
#ˌɪmpɛrɑt̪ˈorɛm# | Rule 48 : [+syl,+long] > [-long,-splng] 
#ˌempɛrɑt̪ˈorɛm# | Rule 50 : [+hi,-tense] > [-hi,+tense,-cons,-lat] 
#ˌempɛrɑt̪ˈorɛ# | Rule 55 : m > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#ˌempɛrɑt̪ˈoːrɛ# | Rule 73 : [+prim] > [+long] / __ [+cons] [-cons]
#ˌemprɑt̪ˈoːrɛ# | Rule 94 : ɛ > ∅ / __ [+cor,+son,-nas]
#ˌemprat̪ˈoːrɛ# | Rule 129 : [+lo,+syl] > [+front,-back] 
#ˌemprad̪ˈoːrɛ# | Rule 201 : [-voi] > [+voi] / [+syl] __ [+syl]
#ˌempraðˈoːrɛ# | Rule 204 : [-delrel,+voi] > [+cont,.delrel] / [-cons] __ [+son,-lat,-nas]
#ˌempraðˈowrɛ# | Rule 227 : {ˈaː;ˈeː;ˈoː;ˈɛː} > {ˈa e̯;ˈe j;ˈo w;ˈi e̯} 
#ˌempraðˈowrə# | Rule 229 : [-stres,-lo,+syl] > ə 
#ˌempraðˈowr# | Rule 235 : ə > ∅ 
#ˌemprəðˈowr# | Rule 239 : a > ə / [+syl] ( [-syl] )* __ 
#ˌembrəðˈowr# | Rule 271 : p > b / __ [+son,+cont,-nas]
#ˌemβrəðˈowr# | Rule 272 : b > β / __ r
#ˌemvrəðˈowr# | Rule 273 : β > v 
#ˌẽmvrəðˈowr# | Rule 302 : [+front,-hi,+syl] > [+nas,+son,.delrel] / __ [+nas,-syl]
#ˌẽmvrəð?wr# | Rule 313 : [+round,+back,+tense,-hi] > [-back,+front,-round] / __ w
#ˌɛ̃mvrəð?wr# | Rule 325 : [+front,-hi,-lo,+syl,+nas] > [-tense,-cons,-lat] 
#ˌæ̃mvrəð?wr# | Rule 330 : [+nas,-hi,+syl] > [+lo] 
#ˌæ̃mvrə?wr# | Rule 339 : {θ;ð} > {∅;∅} 
#ˌæ̃mvrəˈøwr# | Rule 344 : [-hi,-lo,+tense,+syl] > [+round] / __ w
#ˌæ̃mvrəˈør# | Rule 348 : w > ∅ / [+round,+front,-hi,+syl] __ 
#ˌæ̃mvrəˈøːr# | Rule 402 : [+stres] > [+long] / ə __ 
#ˌæ̃mvrˈøːr# | Rule 403 : ə > ∅ / __ [+syl]
#ˌæ̃ːvrˈøːr# | Rule 432 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#ˌãːvrˈøːr# | Rule 450 : [+nas,+front,+syl] > [-hi,+tense,-cons,-lat] 
#ˌãːvrˈøː# | Rule 456 : r > ∅ / [+syl] ( [-syl] )* [-hi,+front,+tense,-lo] __ #
#ˌãːvʀˈøː# | Rule 458 : r > ʀ 
#ãːvʀøː# | Rule 459 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#ãːvʁøː# | Rule 465 : ʀ > ʁ 
