Trajectory file for run 'run1'; etymon number :694:
#mˌen̪t̪iˈoːn̪ikɑm# >>> #mɑ̃sɔ̃ʃ# ( Correct : #mɑ̃sɔ̃ʒ#) :
m ˌe n̪ t̪ i ˈoː n̪ i k ɑ m 
#mˌɛn̪t̪ɪˈoːn̪ɪkɑm# | Rule 14 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,0delrel] 
#mˌɛn̪t̪jˈoːn̪ɪkɑm# | Rule 23 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,0stres,0prim,-cons,-lat,+cont,0delrel] / __ [+syl]
#mˌɛn̪t̪ʝˈoːn̪ɪkɑm# | Rule 28 : j > ʝ / __ [+syl]
#mˌɛn̪t̪ʝˈon̪ɪkɑm# | Rule 58 : [+syl,+long] > [-long,-splng] 
#mˌɛn̪t̪ʝˈon̪ekɑm# | Rule 69 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,0delrel] 
#mˌɛn̪t̪ʝˈon̪ekɑ# | Rule 74 : [+nas,+cons] > ∅ / [-stres] __ #
#mˌɛn̪t͡sʲʝˈon̪ekɑ# | Rule 79 : {t̪;d̪} > {t͡sʲ;ɟ} / __ [+hi,+front,-syl,+cont]
#mˌɛn̪t͡sʲˈon̪ekɑ# | Rule 93 : ʝ > ∅ / [-cont,+hi,+front] __ 
#mˌɛn̪t͡sʲˈoːn̪ekɑ# | Rule 115 : [+prim] > [+long] / __ [+cons] [-cons]
#mˌɛn̪t͡sʲˈoːn̪kɑ# | Rule 137 : e > ∅ / __ k [+lo]
#mˌɛn̪t͡sʲˈon̪kɑ# | Rule 155 : [+syl] > [-long,-splng] / __ [-syl] [+cons]
#mˌɛn̪t͡sʲˈũn̪kɑ# | Rule 171 : [+round,-hi] > [+tense,+hi,+nas,-cons,+son,-lat,+cont,0delrel] / __ [+nas]
#mˌɛn̪t͡sʲˈũn̪ka# | Rule 205 : [+lo] > [+front,-back] 
#mˌɛn̪t͡sʲˈũn̪kʲa# | Rule 241 : [+hi,+back,+cons] > [+front] / __ [+front,+syl]
#mˌɛn̪t͡sʲˈũn̪ca# | Rule 254 : [+back,+front] > [-back] 
#mˌɛn̪t͡sʲˈũn̪t͡ʃa# | Rule 263 : [+hi,+front,-cont,-ant] > [+delrel,+cor,-hi,+strid,+distr,-son,-cont,+cons,0tense] 
#mˌɨn̪t͡sʲˈũn̪t͡ʃa# | Rule 433 : ˌɛ > ˌɨ / __ [+cor,+cont] [+cor]
#mˌɛn̪t͡sʲˈũn̪t͡ʃa# | Rule 439 : {ˌɨ;ˌɯ} > {ˌɛ;ˌɔ} 
#mˌɛn̪t͡sʲˈũn̪t͡ʃə# | Rule 452 : a > ə / [+syl] ( [-syl] )* __ 
#mˌɛ̃n̪t͡sʲˈũn̪t͡ʃə# | Rule 531 : [+front,-hi,+syl] > [+nas,+son,0delrel] / __ [+nas,-syl]
#mˌãn̪t͡sʲˈũn̪t͡ʃə# | Rule 581 : [+nas,-hi,+syl] > [+lo,+tense,-cons,-lat,+cont,0delrel] / __ [+cons]
#mˌãn̪sʲˈũn̪ʃə# | Rule 653 : [+delrel] > [+cont,0delrel] 
#mˌãːsʲˈũːʃə# | Rule 672 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#mˌãːsˈũːʃə# | Rule 677 : [+ant,+front] > [-front,-hi] 
#mˌãːsˈũːʃə̯# | Rule 712 : ə > ə̯ / __ #
#mˌɑ̃ːsˈũːʃə̯# | Rule 719 : [+lo,+long,+syl] > [+back,-front] 
#mˌɑ̃ːsˈũːʃ# | Rule 740 : ə̯ > ∅ 
#mɑ̃ːsũːʃ# | Rule 757 : [+stres] > [-stres,-prim,+syl,+son,0delrel] 
#mɑ̃sũʃ# | Rule 758 : [+syl,+long] > [-long,-splng] 
#mɑ̃sɔ̃ʃ# | Rule 759 : ũ > ɔ̃ 
