Trajectory file for run 'run1'; etymon number :218:
#ˌekskˈort̪ikˈɑːre# >>> #eskɔʁʃɛʁ# ( Correct : #ekɔʁʃe#) :
ˌe k s k ˈo r t̪ i k ˈɑː r e 
#ˌɛkskˈɔrt̪ɪkˈɑːrɛ# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#ˌɛkskˈɔrt̪ɪkˈɑrɛ# | Rule 56 : [+syl,+long] > [-long,-splng] 
#ˌɛskˈɔrt̪ɪkˈɑrɛ# | Rule 60 : k > ∅ / __ s [+cons]
#ˌɛskˈɔrt̪ekˈɑrɛ# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#ˌɛskˈɔr̥t̪ekˈɑrɛ# | Rule 101 : [+ant,+cons] > [-voi] / __ t̪
#ˌɛskˈɔrt̪ekˈɑrɛ# | Rule 102 : r̥ > r 
#ˌɛskˈɔrt̪ekˈɑːrɛ# | Rule 110 : [+prim] > [+long] / __ [+cons] [-cons]
#ˌɛskˈɔrt̪kˈɑːrɛ# | Rule 129 : e > ∅ / __ k [+lo,+syl]
#ˌɛskˈɔrt̪kˈaːrɛ# | Rule 190 : [+lo,+syl] > [+front,-back] 
#ˌɛskˈɔrt̪kʲˈaːrɛ# | Rule 232 : [+hi,+back,+cons] > [+front] / __ [+front,+syl]
#ˌɛskˈɔrt̪kʲˈɛːrɛ# | Rule 238 : ˈaː > ˈɛː / [+cons,+front] __ [+cons,-front,-nas]
#ˌɛskˈɔrt̪kʲˈie̯rɛ# | Rule 240 : {ˈɛː;ˈɔː} > {ˈi e̯;ˈu o̯} 
#ˌɛskˈɔrt̪cˈie̯rɛ# | Rule 243 : [+back,+front] > [-back] 
#ˌɛskˈɔrt̪t͡ʃˈie̯rɛ# | Rule 252 : [+hi,+front,-cont,-ant] > [+delrel,+cor,-hi,+strid,+distr,-son] 
#ˌɛskˈɔrt̪t͡ʃˈie̯rə# | Rule 264 : [-stres,-lo,+syl] > ə / __ #
#ˌɛskˈɔrt̪t͡ʃˈie̯rə̯# | Rule 266 : ə > ə̯ 
#ˌɛskˈɔrt̪t͡ʃˈie̯r# | Rule 300 : ə̯ > ∅ 
#ˌɛskˈɔrt͡ʃˈie̯r# | Rule 334 : {d̪ d̪;t̪ t̪;t̪ t͡s;d̪ d͡ʒ;t̪ t͡ʃ;ɟ ɟ;c c;ɡ ɡ;k k;s s;m m;l l;ɫ l} > {d̪;t̪;t͡s;d͡ʒ;t͡ʃ;ɟ;c;ɡ;k;s;m;l;l} / [+cons] __ 
#ˌeskˈɔrt͡ʃˈie̯r# | Rule 414 : ˌɛ > ˌe / __ [+cor,+cont] [-cor]
#ˌeskˈɔrt͡ʃjˈer# | Rule 568 : {ˈi e̯;ˌɛ a̯;ˈɛ a̯;ˈy ø̯} > {j ˈe;e̯ ˌa;e̯ ˈa;ɥ ˈø} 
#ˌeskˈɔrʃjˈer# | Rule 614 : [+delrel] > [+cont,.delrel] 
#ˌeskˈɔrʃjˈɛr# | Rule 620 : ˈe > ˈɛ 
#ˌeskˈɔrʃˈɛr# | Rule 625 : j > ∅ / [+front,+cons] __ [+front,-hi,-lo,-tense,+syl]
#ˌeskˈɔrʃˈɛɹ# | Rule 685 : r > ɹ / [-cons] __ #
#ˌeskˈɔɹʃˈɛɹ# | Rule 686 : r > ɹ / [-cons] __ [+cons]
#ˌeskˈɔrʃˈɛr# | Rule 699 : ɹ > r 
#ˌeskˈɔʀʃˈɛʀ# | Rule 701 : r > ʀ 
#eskɔʀʃɛʀ# | Rule 702 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#eskɔʁʃɛʁ# | Rule 709 : ʀ > ʁ 
