Trajectory file for run 'run1'; etymon number :495:
#kˌompˈɑːn̪iˈoːn̪em# >>> #kɔ̃paɲɔ̃# ( Correct : #kɔ̃paɲɔ̃#) :
k ˌo m p ˈɑː n̪ i ˈoː n̪ e m 
#kˌɔmpˈɑːn̪ɪˈoːn̪ɛm# | Rule 12 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,0delrel] 
#kˌɔmpˈɑːn̪jˈoːn̪ɛm# | Rule 21 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,0stres,0prim,-cons,-lat,+cont,0delrel] / __ [+syl]
#kˌɔmpˈɑːn̪ʝˈoːn̪ɛm# | Rule 26 : j > ʝ / __ [+syl]
#kˌɔmpˈɑn̪ʝˈon̪ɛm# | Rule 56 : [+syl,+long] > [-long,-splng] 
#kˌɔmpˈɑn̪ʝˈon̪ɛ# | Rule 72 : [+nas,+cons] > ∅ / [-stres] __ #
#kˌɔmpˈɑɲˈon̪ɛ# | Rule 93 : [+nas,+cor] [+hi,+front,-syl,+voi,+cont] > ɲ
#kˌɔmpˈɑːɲˈoːn̪ɛ# | Rule 113 : [+prim] > [+long] / __ [+cons] [-cons]
#kˌũmpˈɑːɲˈũːn̪ɛ# | Rule 169 : [+round,-hi] > [+tense,+hi,+nas,-cons,+son,-lat,+cont,0delrel] / __ [+nas]
#kˌũmpˈaːɲˈũːn̪ɛ# | Rule 202 : [+lo] > [+front,-back] 
#kˌũmpˈaɲˈũːn̪ɛ# | Rule 232 : [-hi,+tense,+syl] > [-long,-splng] / __ ɲ
#kˌũmpˈaɲˈũːn̪ə# | Rule 273 : [-stres,-lo,+syl] > ə / __ #
#kˌũmpˈaɲˈũːn̪ə̯# | Rule 281 : ə > ə̯ 
#kˌũmpˈaɲˈũːn̪# | Rule 305 : ə̯ > ∅ 
#kˌũmpˈaːɲˈũːn̪# | Rule 366 : [+prim] > [+long] / __ [+cons] [+syl]
#kˌũmpˈaɲˈũːn̪# | Rule 371 : [-hi,+tense,+syl] > [-long,-splng] / __ ɲ
#kˌũmpˈaːɲˈũːn̪# | Rule 409 : [+prim] > [+long] / __ [+cons] [+syl]
#kˌũmpˈaɲˈũːn̪# | Rule 414 : [-hi,+tense,+syl] > [-long,-splng] / __ ɲ
#kˌũmpˈaɲˈũn̪# | Rule 461 : [+syl] > [-long,-splng] 
#kˌũmpˈãɲˈũn̪# | Rule 519 : [+lo] > [+nas,+son,0delrel] / __ [+nas,-syl]
#kˌũn̪pˈãɲˈũn̪# | Rule 652 : m > n̪ / __ [+cons]
#kˌũːpˈãɲˈũn̪# | Rule 664 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#kˌũːpˈãɲˈũː# | Rule 665 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ #
#kˌũːpˈaɲˈũː# | Rule 740 : [+front,-round,+syl,+nas] > [-nas] / __ [+cons,+nas] [-cons]
#kũːpaɲũː# | Rule 750 : [+stres] > [-stres,-prim,+syl,+son,0delrel] 
#kũpaɲũ# | Rule 751 : [+syl,+long] > [-long,-splng] 
#kɔ̃paɲɔ̃# | Rule 752 : ũ > ɔ̃ 
