Trajectory file for run 'run1'; etymon number :550:
#kwˈiːn̪kwɑːɡˈin̪t̪ɑm# >>> #sɛ̃kɐ̃t̪# ( Correct : #sɛ̃kɑ̃t̪#) :
k w ˈiː n̪ k w ɑː ɡ ˈi n̪ t̪ ɑ m 
#cˈiŋkwɑʝˈen̪t̪ɑ# | Rule 68 : [-cont,-delrel,+voi] > [+cont,.delrel] / [+syl] __ [+son,-lat,-nas] (ORIG: [-cont,-delrel,+voi] > [+cont] / [+syl] __ [+son,-lat,-nas] )
#t͡sʲˈiŋkwɑʝˈen̪t̪ɑ# | Rule 134 : {c;ɟ} > {t͡sʲ;d͡ʒ}  (ORIG: {c;ɟ} > {t͡sʲ;d͡ʒ} )
#t͡sʲˈiŋkwaʝˈen̪t̪a# | Rule 143 : [+lo,+syl] > [+front,-back]  (ORIG: [+lo,+syl] > [+front,-back] )
#t͡sʲˈiŋkwaˈen̪t̪a# | Rule 159 : ʝ > ∅ / [-cons] __ [-cons] (ORIG: ʝ > ∅ / [-cons] __ [-cons] )
#t͡sʲˈiŋkwəˈen̪t̪ə# | Rule 271 : a > ə / [+syl] ( [-syl] )* __  (ORIG: a > ə / [+syl] ([-syl])* __ )
#t͡sˈiŋkwəˈen̪t̪ə# | Rule 327 : t͡sʲ > t͡s  (ORIG: t͡sʲ >t͡s )
#t͡sˈiŋkwəˈẽn̪t̪ə# | Rule 335 : [+front,-hi,+syl] > [+nas,+son,.delrel] / __ [+nas,-syl] (ORIG: [+front,-hi,+syl] > [+nas] / __ [+nas,-syl] )
#t͡sˈiŋkwəˈɛ̃n̪t̪ə# | Rule 358 : [+front,-hi,-lo,+syl,+nas] > [-tense,-cons,-lat,+cont,.delrel]  (ORIG: [+front,-hi,-lo,+syl,+nas] > [-tense] )
#t͡sˈiŋkwəˈæ̃n̪t̪ə# | Rule 363 : [+nas,-hi,+syl] > [+lo]  (ORIG: [+nas,-hi,+syl] > [+lo] )
#t͡sˈiŋkəˈæ̃n̪t̪ə# | Rule 383 : [-syl,+round,-cons] > ∅ / [+back,-cont] __  (ORIG: [-syl,+round,-cons] > ∅ / [+back,-cont] __  )
#t͡sˈiŋkə̃ˈæ̃n̪t̪ə# | Rule 385 : [+syl,-front] > [+nas,+son,.delrel] / __ [+nas] (ORIG: [+syl,-front] > [+nas] / __ [+nas] )
#t͡sˈĩŋkə̃ˈæ̃n̪t̪ə# | Rule 399 : [+syl] > [+nas,+son,.delrel] / __ [+nas,+cons] (ORIG: [+syl] > [+nas] / __ [+nas,+cons] )
#t͡sˈĩŋkəˈæ̃n̪t̪ə# | Rule 400 : ə̃ > ə  (ORIG: ə̃ > ə  )
#sˈĩŋkəˈæ̃n̪t̪ə# | Rule 409 : [+delrel] > [+cont,.delrel]  (ORIG: [+delrel] > [+cont] )
#sˈɛ̃ŋkəˈæ̃n̪t̪ə# | Rule 418 : [+nas,+front,-round,-lo,+syl] > [-hi,-tense,-cons,-lat,+cont,.delrel]  (ORIG: [+nas,+front,-round,-lo,+syl] > [-hi,-tense]  )
#sˈɛ̃ŋkəˈæ̃ːn̪t̪ə# | Rule 435 : [+stres] > [+long] / ə __  (ORIG: [+stres] > [+long] / ə __  )
#sˈɛ̃ŋkˈæ̃ːn̪t̪ə# | Rule 436 : ə > ∅ / __ [+syl] (ORIG: ə > ∅ / __ [+syl]  )
#sˈɛ̃ŋkˈɐ̃ːn̪t̪ə# | Rule 464 : [+lo,+long,+syl] > [+back,-front]  (ORIG: [+lo,+long,+syl] > [+back,-front] )
#sˈɛ̃ːkˈɐ̃ːt̪ə# | Rule 465 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons] (ORIG: [+nas,+syl] [+nas,+cons]>[+long] ∅/__[+cons] )
#sˈɛ̃ːkˈɐ̃ːt̪ə̯# | Rule 479 : ə > ə̯ / __ # (ORIG: ə > ə̯ / __ # )
#sˈɛ̃ːkˈɐ̃ːt̪# | Rule 486 : ə̯ > ∅  (ORIG: ə̯ > ∅ )
#sɛ̃ːkɐ̃ːt̪# | Rule 497 : [+stres] > [-stres,-prim,+syl,+son,.delrel]  (ORIG: [+stres] > [-stres] )
#sɛ̃kɐ̃t̪# | Rule 498 : [+syl,+long] > [-long,-splng]  (ORIG: [+syl,+long] > [-long] )
