Trajectory file for run 'run1'; etymon number :1040:
#sˌɑkrɑmˈen̪t̪um# >>> #saʁmɑ̃# ( Correct : #sɛʁmɑ̃#) :
s ˌɑ k r ɑ m ˈe n̪ t̪ u m 
#sˌɑkrɑmˈɛn̪t̪ʊm# | Rule 14 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,0delrel] 
#sˌɑkrɑmˈɛn̪t̪om# | Rule 64 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,0delrel] 
#sˌɑkrɑmˈɛn̪t̪o# | Rule 69 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#sˌɑxrɑmˈɛn̪t̪o# | Rule 115 : [+hi,+back,-cont] > [+cont,0delrel] / [-cons] __ [+cor,+cons]
#sˌaxramˈɛn̪t̪o# | Rule 195 : [+lo,+syl] > [+front,-back] 
#sˌaçramˈɛn̪t̪o# | Rule 203 : [+back,+hi,+cont,-son] > [-back,+front] / __ [+cor]
#sˌaçrʲamˈɛn̪t̪o# | Rule 211 : [+cor,+ant,-lat] > [+hi,+front] / [+hi,+front,+cons] __ 
#sˌarʲamˈɛn̪t̪o# | Rule 240 : [+hi,+front,-lat,-syl] > ∅ / __ rʲ
#sˌarʲamˈɛn̪t̪ə# | Rule 261 : [-stres,-lo,+syl] > ə / __ #
#sˌarʲamˈɛn̪t̪ə̯# | Rule 263 : ə > ə̯ 
#sˌarʲamˈɛn̪t̪# | Rule 297 : ə̯ > ∅ 
#sˌaramˈɛn̪t̪# | Rule 378 : rʲ > r 
#sˌarəmˈɛn̪t̪# | Rule 429 : a > ə / [+syl] ( [-syl] )* __ 
#sˌarəmˈɛ̃n̪t̪# | Rule 504 : [+front,-hi,+syl] > [+nas,+son,0delrel] / __ [+nas,-syl]
#sˌarəmˈãn̪t̪# | Rule 563 : [+nas,-hi,+syl] > [+lo,+tense,-cons,-lat,+cont,0delrel] / __ [+cons]
#sˌarə̃mˈãn̪t̪# | Rule 611 : [+syl,-front] > [+nas,+son,0delrel] / __ [+nas,-syl]
#sˌarəmˈãn̪t̪# | Rule 622 : ə̃ > ə 
#sˌarə̃mˈãn̪t̪# | Rule 635 : [+syl,-hi] > [+nas,+son,0delrel] / __ [+nas,+cons]
#sˌarəmˈãn̪t̪# | Rule 637 : {ə̃;ˌə̃} > {ə;ˌə} 
#sˌarəmˈãːt̪# | Rule 651 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#sˌarmˈãːt̪# | Rule 697 : ə > ∅ / [-cons] r __ [+cons] @
#sˌarmˈɑ̃ːt̪# | Rule 701 : [+lo,+long,+syl] > [+back,-front] 
#sˌaɹmˈɑ̃ːt̪# | Rule 713 : r > ɹ / [-cons] __ [+cons]
#sˌaɹmˈɑ̃ː# | Rule 718 : [-son] > ∅ / __ #
#sˌarmˈɑ̃ː# | Rule 731 : ɹ > r 
#sˌaʀmˈɑ̃ː# | Rule 733 : r > ʀ 
#saʀmɑ̃ː# | Rule 734 : [+stres] > [-stres,-prim,+syl,+son,0delrel] 
#saʀmɑ̃# | Rule 735 : [+syl,+long] > [-long,-splng] 
#saʁmɑ̃# | Rule 741 : ʀ > ʁ 
