Trajectory file for run 'run1'; etymon number :1175:
#t̪ˌɑksoːn̪ˈɑːriɑm# >>> #t̪ɛʁn̪iwjʁ# ( Correct : #t̪an̪jɛʁ#) :
t̪ ˌɑ k s oː n̪ ˈɑː r i ɑ m 
#t̪ˌɑksoːn̪ˈɑːrɪɑm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,0delrel] 
#t̪ˌɑksoːn̪ˈɑːrjɑm# | Rule 24 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,0stres,0prim,-cons,-lat,+cont,0delrel] / __ [+syl]
#t̪ˌɑksoːn̪ˈɑːrʝɑm# | Rule 27 : j > ʝ / __ [+syl]
#t̪ˌɑkson̪ˈɑːrʝɑm# | Rule 44 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,0delrel] 
#t̪ˌɑkson̪ˈɑrʝɑm# | Rule 45 : [+syl,+long] > [-long,-splng] 
#t̪ˌɑxson̪ˈɑrʝɑm# | Rule 50 : k > x / __ [+cor,-voi]
#t̪ˌɑxson̪ˈɑrʝɑ# | Rule 59 : m > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#t̪ˌɑxson̪ˈɑrʲɑ# | Rule 120 : r ʝ > rʲ 
#t̪ˌaxson̪ˈarʲa# | Rule 133 : [+lo,+syl] > [+front,-back] 
#t̪ˌaçson̪ˈarʲa# | Rule 141 : [+back,+hi,+cont,-son] > [-back,+front] / __ [+cor]
#t̪ˌaçsʲon̪ˈarʲa# | Rule 146 : [+cor,+ant,-lat] > [+hi,+front] / [+hi,+front,+cons] __ 
#t̪ˌaçsʲon̪ˈaːrʲa# | Rule 153 : [+prim] > [+long] / __ ( [+cons] ) [+syl]
#t̪ˌaçsʲon̪ˈɛːrʲa# | Rule 177 : ˈaː > ˈɛː 
#t̪ˌaçsʲon̪ˈie̯rʲa# | Rule 178 : {ˈɛː;ˈɔː} > {ˈi e̯;ˈu o̯} 
#t̪ˌaçsʲən̪ˈie̯rʲa# | Rule 195 : [-stres,-lo,+syl] > ə 
#t̪ˌaçsʲə̯n̪ˈie̯rʲa# | Rule 196 : ə > ə̯ 
#t̪ˌaçsʲn̪ˈie̯rʲa# | Rule 208 : ə̯ > ∅ 
#t̪ˌaçsʲn̪ʲˈie̯rʲa# | Rule 212 : [+cor,+ant,-lat,-strid] > [+hi,+front] / [+hi,+front,+cons] __ 
#t̪ˌaçsʲn̪ʲˈiːe̯rʲa# | Rule 228 : [+prim] > [+long] / __ [-cons]
#t̪ˌaçsʲn̪ʲˈiːe̯rʲɛ# | Rule 234 : [+lo,+syl] > [-lo,+front,-tense,-cons,-lat,+cont,0delrel] / [+front,+cons] __ #
#t̪ˌaçsn̪ˈiːe̯rʲɛ# | Rule 250 : {t̪ʲ;d̪ʲ;sʲ;zʲ;rʲ;n̪ʲ} > {t̪;d̪;s;z;r;n̪} / [+hi,+front,-syl] __ 
#t̪ˌaçsn̪ˈiːe̯jrɛ# | Rule 251 : {t̪ʲ;d̪ʲ;sʲ;zʲ;rʲ;n̪ʲ} > {j t̪;j d̪;j s;j z;j r;j n̪} 
#t̪ˌaçsn̪ˈiːe̯jrə# | Rule 271 : [-stres,-lo,+syl] > ə 
#t̪ˌaçsn̪ˈiːe̯jr# | Rule 281 : ə > ∅ 
#t̪ˌaʝsn̪ˈiːe̯jr# | Rule 305 : ç > ʝ 
#t̪ˌajsn̪ˈiːe̯jr# | Rule 306 : ʝ > j / [-cons] __ 
#t̪ˌajzn̪ˈiːe̯jr# | Rule 318 : s > z / __ [+voi,+cons]
#t̪ˌajðn̪ˈiːe̯jr# | Rule 338 : z > ð / __ [+cor,+ant,+distr,+voi,+cons]
#t̪ˌajðn̪ˈiːo̯jr# | Rule 360 : [+front,+tense,-hi,-lo] > [+back,-front,+round,+lab] / __ j
#t̪ˌajðn̪ˈiːwjr# | Rule 368 : [+round,+tense,+back] > [+hi] 
#t̪ˌajrn̪ˈiːwjr# | Rule 387 : ð > r / __ n̪
#t̪ˌɛjrn̪ˈiːwjr# | Rule 406 : [+lo,+syl] > [-lo,-tense,-cons,-lat,+cont,0delrel] / __ j [+cons]
#t̪ˌɛːrn̪ˈiːwjr# | Rule 431 : {ˌɛ j;ˌɛː j;ˈɛ j;ˈɛː j} > {ˌɛː;ˌɛː;ˈɛː;ˈɛː} / __ [+cons]
#t̪ˌɛːrn̪ˈiːwjɹ# | Rule 521 : r > ɹ / [-cons] __ #
#t̪ˌɛːɹn̪ˈiːwjɹ# | Rule 522 : r > ɹ / [-cons] __ [+cons]
#t̪ˌɛːrn̪ˈiːwjr# | Rule 538 : ɹ > r 
#t̪ˌɛːʀn̪ˈiːwjʀ# | Rule 540 : r > ʀ 
#t̪ɛːʀn̪iːwjʀ# | Rule 541 : [+stres] > [-stres,-prim,+syl,+son,0delrel] 
#t̪ɛʀn̪iwjʀ# | Rule 542 : [+syl,+long] > [-long,-splng] 
#t̪ɛʁn̪iwjʁ# | Rule 548 : ʀ > ʁ 
