Trajectory file for run 'run1'; etymon number :190:
#d̪ˌomn̪ikˈellɑm# >>> #d̪ɔmwazɛl# ( Correct : #d̪əmwazɛl#) :
d̪ ˌo m n̪ i k ˈe l l ɑ m 
#d̪ˌɔmn̪ɪkˈɛllɑm# | Rule 12 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,0delrel] 
#d̪ˌɔmn̪ekˈɛllɑm# | Rule 67 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,0delrel] 
#d̪ˌɔmn̪ekˈɛllɑ# | Rule 72 : [+nas,+cons] > ∅ / [-stres] __ #
#d̪ˌɔmn̪ekʲˈɛllɑ# | Rule 79 : [+hi,+back,-cont] > [+front] / __ [+cont,-lo,+front]
#d̪ˌɔmn̪ecˈɛllɑ# | Rule 80 : [+back,+front] > [-back] 
#d̪ˌũmn̪ecˈɛllɑ# | Rule 169 : [+round,-hi] > [+tense,+hi,+nas,-cons,+son,-lat,+cont,0delrel] / __ [+nas]
#d̪ˌũmn̪et͡sʲˈɛllɑ# | Rule 185 : {c;ɟ} > {t͡sʲ;d͡ʒ} 
#d̪ˌũmn̪et͡sʲˈɛlla# | Rule 202 : [+lo] > [+front,-back] 
#d̪ˌũmmet͡sʲˈɛlla# | Rule 207 : n̪ > m / m __ 
#d̪ˌũmmət͡sʲˈɛlla# | Rule 272 : [-stres,-lo,+syl] > ə / __ [-syl]
#d̪ˌũmmə̯t͡sʲˈɛlla# | Rule 281 : ə > ə̯ 
#d̪ˌũmmət͡sʲˈɛlla# | Rule 291 : ə̯ > ə / m __ t͡sʲ [+prim]
#d̪ˌũmməd͡zʲˈɛlla# | Rule 358 : [-voi] > [+voi] / [-cons] __ [-cons]
#d̪ˌũmməjd͡zˈɛlla# | Rule 396 : {t̪ʲ;d̪ʲ;sʲ;zʲ;n̪ʲ;d͡zʲ} > {j t̪;j d̪;j s;j z;j n̪;j d͡z} 
#d̪ˌũmməjzˈɛlla# | Rule 402 : d͡z > z / [-cons] __ [-cons]
#d̪ˌũmməjzˈɛllə# | Rule 451 : a > ə / [+syl] ( [-syl] )* __ 
#d̪ˌũməjzˈɛlə# | Rule 505 : {p p;b b;f f;m m;t̪ t̪;t̪ t͡s;t̪ t͡sʲ;t̪ t͡ʃ;d̪ d̪;d̪ d͡ʒ;n̪ n̪;s s;z z;l l;k k;ɡ ɡ;n̪ n̪} > {p;b;f;m;t̪;t͡s;t͡sʲ;t͡ʃ;d̪;d͡ʒ;n̪;s;z;l;k;ɡ;n̪} 
#d̪ˌũmejzˈɛlə# | Rule 511 : ə > e / __ [+front,+son,+hi,-syl]
#d̪ˌũmojzˈɛlə# | Rule 561 : [+front,+tense,-hi,-lo,+syl,-long] > [+back,-front,+round,+lab] / __ j
#d̪ˌũmujzˈɛlə# | Rule 573 : [+round,+tense,+back] > [+hi] 
#d̪ˌũmuɛ̯zˈɛlə# | Rule 627 : j > ɛ̯ / [+syl,+back,+round] __ 
#d̪ˌũmwɛzˈɛlə# | Rule 628 : {u ɛ̯;ˌu ɛ̯;ˈu ɛ̯;ɔ ɛ̯;ˌɔ ɛ̯;ˈɔ ɛ̯} > {w ɛ;w ˌɛ;w ˈɛ;w ɛ;w ˌɛ;w ˈɛ} 
#d̪ˌũmwɛzˈɛlə̯# | Rule 708 : ə > ə̯ / __ #
#d̪ˌũmwɛːzˈɛlə̯# | Rule 717 : [+syl] > [+long] / __ z [+syl]
#d̪ˌũmwɛːzˈɛl# | Rule 733 : ə̯ > ∅ 
#d̪ũmwɛːzɛl# | Rule 750 : [+stres] > [-stres,-prim,+syl,+son,0delrel] 
#d̪ũmwɛzɛl# | Rule 751 : [+syl,+long] > [-long,-splng] 
#d̪ɔ̃mwɛzɛl# | Rule 752 : ũ > ɔ̃ 
#d̪ɔmwɛzɛl# | Rule 754 : [+syl,+nas] > [-nas] / __ [+nas,+cons]
#d̪ɔmwazɛl# | Rule 756 : ɛ > a / w __ 
