Trajectory file for run 'run1'; etymon number :1180:
#t̪ˌɑksoːn̪ˈɑːriɑm# >>> #t̪eːn̪ʲiː?jʁ# ( Correct : #t̪an̪jɛʁ#) :
t̪ ˌɑ k s oː n̪ ˈɑː r i ɑ m 
#t̪ˌɑksoːn̪ˈɑːrɪɑm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat] 
#t̪ˌɑksoːn̪ˈɑːrjɑm# | Rule 24 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,.stres,.prim,-cons,-lat] / __ [+syl]
#t̪ˌɑksoːn̪ˈɑːrʝɑm# | Rule 25 : j > ʝ / __ [+syl]
#t̪ˌɑxsoːn̪ˈɑːrʝɑm# | Rule 41 : k > x / __ [+cor,-voi]
#t̪ˌɑxson̪ˈɑːrʝɑm# | Rule 47 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat] 
#t̪ˌɑxson̪ˈɑrʝɑm# | Rule 48 : [+syl,+long] > [-long,-splng] 
#t̪ˌɑxson̪ˈɑrʝɑ# | Rule 55 : m > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#t̪ˌɑxson̪ˈɑrʲɑ# | Rule 114 : r ʝ > rʲ 
#t̪ˌaxson̪ˈarʲa# | Rule 129 : [+lo,+syl] > [+front,-back] 
#t̪ˌaçson̪ˈarʲa# | Rule 138 : [+back,+hi,+cont,-son] > [-back,+front] / __ [+cor]
#t̪ˌaçsʲon̪ˈarʲa# | Rule 143 : [+cor,+ant,-lat] > [+hi,+front] / [+hi,+front,+cons] __ 
#t̪ˌaçsʲon̪ˈaːrʲa# | Rule 152 : [+prim] > [+long] / __ [+cons] [+syl]
#t̪ˌaçsʲon̪ˈaːrʲɛ# | Rule 159 : [+lo,+syl] > [-lo,+front,-tense,-cons,-lat] / [+front,+cons] __ #
#t̪ˌaçsʲn̪ˈaːrʲɛ# | Rule 172 : [+syl,-stres,-lo] > ∅ / __ ( [-syl] )* [+syl,+lo]
#t̪ˌaçsʲn̪ʲˈaːrʲɛ# | Rule 175 : [+cor,+ant,-lat] > [+hi,+front] / [+hi,+front,+cons] __ 
#t̪ˌaçsʲn̪ʲˈɛːrʲɛ# | Rule 197 : [+lo,+syl] > [-lo,+front,-tense,-cons,-lat] / [+front,+cons] __ [+cons] [-cons]
#t̪ˌaçsʲn̪ʲˈie̯rʲɛ# | Rule 199 : {ˈɛː;ˈɔː} > {ˈi e̯;ˈu o̯} 
#t̪ˌaçjsn̪ʲˈie̯jrɛ# | Rule 209 : {t̪ʲ;d̪ʲ;sʲ;zʲ;rʲ} > {j t̪;j d̪;j s;j z;j r} 
#t̪ˌaçjsn̪ʲˈiːe̯jrɛ# | Rule 223 : [+prim] > [+long] / __ [-cons]
#t̪ˌaçjsn̪ʲˈiːe̯jrə# | Rule 229 : [-stres,-lo,+syl] > ə 
#t̪ˌaçjsn̪ʲˈiːe̯jr# | Rule 235 : ə > ∅ 
#t̪ˌaʝjsn̪ʲˈiːe̯jr# | Rule 257 : ç > ʝ 
#t̪ˌajjsn̪ʲˈiːe̯jr# | Rule 258 : ʝ > j / [+syl] __ 
#t̪ˌajsn̪ʲˈiːe̯jr# | Rule 259 : j > ∅ / [+hi,+front,+tense] __ 
#t̪ˌajzn̪ʲˈiːe̯jr# | Rule 268 : s > z / __ [+voi,+cons]
#t̪ˌajðn̪ʲˈiːe̯jr# | Rule 288 : z > ð / __ [+cor,+ant,+distr,+voi,+cons]
#t̪ˌajðn̪ʲˈiː?jr# | Rule 314 : [+front,+tense,-hi,-lo] > [+back,-front,+round] / __ j
#t̪ˌajðn̪ʲˈiː?jr# | Rule 317 : [+round,+tense,+back] > [+hi] 
#t̪ˌajn̪ʲˈiː?jr# | Rule 339 : {θ;ð} > {∅;∅} 
#t̪ˌɛjn̪ʲˈiː?jr# | Rule 345 : [+lo,+syl] > [-lo,-tense,-cons,-lat] / __ j [+cons]
#t̪ˌɛːn̪ʲˈiː?jr# | Rule 370 : {ˌɛ j;ˌɛː j;ˈɛ j;ˈɛː j} > {ˌɛː;ˌɛː;ˈɛː;ˈɛː} / __ [+cons]
#t̪ˌɛ̃ːn̪ʲˈiː?jr# | Rule 379 : [+syl,-hi] > [+nas,+son,.delrel] / __ [+nas,+cons]
#t̪ˌẽːn̪ʲˈiː?jr# | Rule 450 : [+nas,+front,+syl] > [-hi,+tense,-cons,-lat] 
#t̪ˌeːn̪ʲˈiː?jr# | Rule 452 : [+front,-round,+syl,+nas] > [-nas] / __ [+cons,+nas] [-cons]
#t̪ˌeːn̪ʲˈiː?jʀ# | Rule 458 : r > ʀ 
#t̪eːn̪ʲiː?jʀ# | Rule 459 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#t̪eːn̪ʲiː?jʁ# | Rule 465 : ʀ > ʁ 
