Trajectory file for run 'run1'; etymon number :1161:
#sˌuperkˈilium# >>> #sɔʁsɛj# ( Correct : #suʁsi#) :
s ˌu p e r k ˈi l i u m 
#sˌʊpɛrkˈɪlɪʊm# | Rule 14 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,0delrel] 
#sˌʊpɛrkˈɪljʊm# | Rule 24 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,0stres,0prim,-cons,-lat,+cont,0delrel] / __ [+syl]
#sˌʊpɛrkˈɪlʝʊm# | Rule 27 : j > ʝ / __ [+syl]
#sˌopɛrkˈelʝom# | Rule 64 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,0delrel] 
#sˌopɛrkˈelʝo# | Rule 69 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#sˌopɛrkʲˈelʝo# | Rule 75 : [+hi,+back,-cont] > [+front] / __ [+cont,-lo,+front]
#sˌopɛrcˈelʝo# | Rule 76 : [+back,+front] > [-back] 
#sˌopɛrcˈeʎo# | Rule 90 : l ʝ > ʎ 
#sˌopɛrcˈeːʎo# | Rule 109 : [+prim] > [+long] / __ [+cons] [-cons]
#sˌopɛrcˈeʎo# | Rule 113 : [-hi,+tense,+syl] > [-long,-splng] / __ ʎ
#sˌopɛrcˈeːʎo# | Rule 152 : [+prim] > [+long] / __ ( [+cons] ) [+syl]
#sˌopɛrcˈeʎo# | Rule 156 : [-hi,+tense,+syl] > [-long,-splng] / __ ʎ
#sˌopɛrt͡sʲˈeʎo# | Rule 182 : {c;ɟ} > {t͡sʲ;d͡ʒ} 
#sˌopɛrt͡sʲˈeːʎo# | Rule 223 : [+prim] > [+long] / __ ( [+cons] ) [+syl]
#sˌopɛrt͡sʲˈeʎo# | Rule 227 : [-hi,+tense,+syl] > [-long,-splng] / __ ʎ
#sˌopərt͡sʲˈeʎo# | Rule 267 : [-stres,-lo,+syl] > ə / __ [-syl]
#sˌopərt͡sʲˈeʎə# | Rule 268 : [-stres,-lo,+syl] > ə / __ #
#sˌopə̯rt͡sʲˈeʎə̯# | Rule 270 : ə > ə̯ 
#sˌopɾət͡sʲˈeʎə̯# | Rule 292 : {n̪ ə̯;ə̯ n̪;r ə̯;ə̯ r} > {ɾ ə;ɾ ə;ɾ ə;ɾ ə} / [-cont] __ @
#sˌoprət͡sʲˈeʎə̯# | Rule 299 : ɾ > r 
#sˌoprət͡sʲˈeʎ# | Rule 304 : ə̯ > ∅ 
#sˌoprt̪t͡sʲˈeʎ# | Rule 316 : ə > t̪ / r __ [+delrel,-voi]
#sˌobrt̪t͡sʲˈeʎ# | Rule 356 : [-voi,-delrel,+ant] > [+voi] / [-cons] __ [+cor,+son,-nas]
#sˌoβrt̪t͡sʲˈeʎ# | Rule 381 : [-delrel,+voi] > [+cont,0delrel] / [-cons] __ r
#sˌowrt̪t͡sʲˈeʎ# | Rule 433 : β > w / __ r ( ə ) [+cons]
#sˌowrt͡sʲˈeʎ# | Rule 470 : [+cons] > ∅ / [+cons] __ [-son]
#sˌowrt͡sˈeʎ# | Rule 541 : t͡sʲ > t͡s / [-nas] __ 
#sˌowrt͡sˈɛʎ# | Rule 543 : [+front,-hi,-lo,-round,+stres] > [-tense,-cons,-lat,+cont,0delrel] / __ ʎ
#sˌɔrt͡sˈɛʎ# | Rule 558 : {ˌɔ w;ˌo w;ˈɔ w} > {ˌɔ;ˌɔ;ˈɔ} / __ [+cor,+son]
#sˌɔrsˈɛʎ# | Rule 643 : [+delrel] > [+cont,0delrel] 
#sˌɔɹsˈɛʎ# | Rule 724 : r > ɹ / [-cons] __ [+cons]
#sˌɔrsˈɛʎ# | Rule 742 : ɹ > r 
#sˌɔʀsˈɛʎ# | Rule 744 : r > ʀ 
#sɔʀsɛʎ# | Rule 745 : [+stres] > [-stres,-prim,+syl,+son,0delrel] 
#sɔʁsɛʎ# | Rule 752 : ʀ > ʁ 
#sɔʁsɛj# | Rule 753 : ʎ > j 
