Trajectory file for run 'run1'; etymon number :1185:
#t̪ˌɑksoːn̪ˈɑːriɑm# >>> #t̪ɛn̪jɛʁ# ( Correct : #t̪an̪jɛʁ#) :
t̪ ˌɑ k s oː n̪ ˈɑː r i ɑ m 
#t̪ˌɑksoːn̪ˈɑːrɪɑm# | Rule 12 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,0delrel] 
#t̪ˌɑksoːn̪ˈɑːrjɑm# | Rule 21 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,0stres,0prim,-cons,-lat,+cont,0delrel] / __ [+syl]
#t̪ˌɑksoːn̪ˈɑːrʝɑm# | Rule 26 : j > ʝ / __ [+syl]
#t̪ˌɑkson̪ˈɑrʝɑm# | Rule 55 : [+syl,+long] > [-long,-splng] 
#t̪ˌɑxson̪ˈɑrʝɑm# | Rule 60 : k > x / [-cons] __ [+cor,-voi]
#t̪ˌɑxson̪ˈɑrʝɑ# | Rule 70 : [+nas,+cons] > ∅ / [-stres] __ #
#t̪ˌɑxsũn̪ˈɑrʝɑ# | Rule 167 : [+round,-hi] > [+tense,+hi,+nas,-cons,+son,-lat,+cont,0delrel] / __ [+nas]
#t̪ˌɑxsũn̪ˈɑrʲɑ# | Rule 177 : r ʝ > rʲ 
#t̪ˌaxsũn̪ˈarʲa# | Rule 200 : [+lo] > [+front,-back] 
#t̪ˌaçsũn̪ˈarʲa# | Rule 209 : [+back,+hi,+cont,-son] > [-back,+front] / __ [+cor]
#t̪ˌaçsʲũn̪ˈarʲa# | Rule 217 : [+cor,+ant,-lat] > [+hi,+front] / [+hi,+front,+cons] __ 
#t̪ˌaçsʲũn̪ˈaːrʲa# | Rule 225 : [+prim] > [+long] / __ ( [+cons] ) [+syl]
#t̪ˌaçsʲən̪ˈaːrʲa# | Rule 267 : [-stres,-lo] > ə / __ [-syl] ( [-syl] )* [+lo,+prim]
#t̪ˌaçsʲən̪ˈɛːra# | Rule 269 : ˈaː rʲ > ˈɛː r / [+syl] ( [-syl] )* __ [+syl] #
#t̪ˌaçsʲə̯n̪ˈɛːra# | Rule 279 : ə > ə̯ 
#t̪ˌaçsʲn̪ˈɛːra# | Rule 303 : ə̯ > ∅ 
#t̪ˌaçsʲn̪ʲˈɛːra# | Rule 328 : [+cor,+ant,-lat] > [+hi,+front] / [+hi,+front,+cons] __ 
#t̪ˌaçsʲn̪ʲˈie̯ra# | Rule 379 : {ˈɛː;ˈɔː} > {ˈi e̯;ˈu o̯} 
#t̪ˌaçsn̪ˈie̯ra# | Rule 393 : {t̪ʲ;d̪ʲ;sʲ;zʲ;n̪ʲ;d͡zʲ} > {t̪;d̪;s;z;n̪;d͡z} / [+hi,+front,-syl] __ 
#t̪ˌaçsn̪ˈie̯rə# | Rule 449 : a > ə / [+syl] ( [-syl] )* __ 
#t̪ˌaʝsn̪ˈie̯rə# | Rule 468 : ç > ʝ 
#t̪ˌajsn̪ˈie̯rə# | Rule 474 : ʝ > j / [-cons] __ 
#t̪ˌajzn̪ˈie̯rə# | Rule 486 : s > z / [-cons] __ [+voi,+cons]
#t̪ˌajn̪ˈie̯rə# | Rule 559 : z > ∅ / __ [+cons]
#t̪ˌajn̪jˈerə# | Rule 600 : {ˈi e̯;ˌɛ a̯;ˈɛ a̯;ˈy ø̯} > {j ˈe;e̯ ˌa;e̯ ˈa;ɥ ˈø} 
#t̪ˌɛjn̪jˈerə# | Rule 613 : [+syl,-round,-hi] > [-lo,-tense,-cons,-lat,+cont,0delrel] / __ j [+cons]
#t̪ˌɛj̃n̪jˈerə# | Rule 619 : j > j̃ / __ [+nas,+cons]
#t̪ˌɛ̃j̃n̪jˈerə# | Rule 621 : [+syl,-hi] > [+nas,+son,0delrel] / __ [+nas,-syl]
#t̪ˌɛ̃n̪jˈerə# | Rule 664 : j̃ > ∅ / [+nas,+front,-tense] __ 
#t̪ˌɛn̪jˈerə# | Rule 701 : [+front,-lo,+nas,+syl] > [-nas] / __ [+nas,+cons] [-cons]
#t̪ˌɛn̪jˈɛrə# | Rule 710 : [+tense,-hi,-lo,-round,+stres] > [-tense,-cons,-lat,+cont,0delrel] / __ [+cons] [-cons,-back,-front]
#t̪ˌɛn̪jˈɛrə̯# | Rule 713 : ə > ə̯ / __ #
#t̪ˌɛn̪jˈɛr# | Rule 731 : ə̯ > ∅ 
#t̪ˌɛn̪jˈɛʀ# | Rule 746 : r > ʀ 
#t̪ɛn̪jɛʀ# | Rule 747 : [+stres] > [-stres,-prim,+syl,+son,0delrel] 
#t̪ɛn̪jɛʁ# | Rule 755 : ʀ > ʁ 
