Trajectory file for run 'run1'; etymon number :1220:
#t̪ˌest̪imˈoːn̪ium# >>> #t̪ɛmwɛ̃# ( Correct : #t̪emwɛ̃#) :
t̪ ˌe s t̪ i m ˈoː n̪ i u m 
#t̪ˌɛst̪ɪmˈoːn̪ɪʊm# | Rule 12 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,0delrel] 
#t̪ˌɛst̪ɪmˈoːn̪jʊm# | Rule 21 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,0stres,0prim,-cons,-lat,+cont,0delrel] / __ [+syl]
#t̪ˌɛst̪ɪmˈoːn̪ʝʊm# | Rule 26 : j > ʝ / __ [+syl]
#t̪ˌɛst̪ɪmˈon̪ʝʊm# | Rule 55 : [+syl,+long] > [-long,-splng] 
#t̪ˌɛst̪emˈon̪ʝom# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,0delrel] 
#t̪ˌɛst̪emˈon̪ʝo# | Rule 70 : [+nas,+cons] > ∅ / [-stres] __ #
#t̪ˌɛst̪emˈoɲo# | Rule 91 : [+nas,+cor] [+hi,+front,-syl,+voi,+cont] > ɲ
#t̪ˌɛst̪emˈoːɲo# | Rule 111 : [+prim] > [+long] / __ [+cons] [-cons]
#t̪ˌɛst̪emˈũːɲo# | Rule 167 : [+round,-hi] > [+tense,+hi,+nas,-cons,+son,-lat,+cont,0delrel] / __ [+nas]
#t̪ˌɛst̪əmˈũːɲo# | Rule 270 : [-stres,-lo,+syl] > ə / __ [-syl]
#t̪ˌɛst̪əmˈũːɲə# | Rule 271 : [-stres,-lo,+syl] > ə / __ #
#t̪ˌɛst̪ə̯mˈũːɲə̯# | Rule 279 : ə > ə̯ 
#t̪ˌɛst̪mˈũːɲ# | Rule 303 : ə̯ > ∅ 
#t̪ˌɛsd̪mˈũːɲ# | Rule 358 : t̪ > d̪ / __ [+nas,+cons]
#t̪ˌɛsd̪mˈũɲ# | Rule 414 : [+syl] > [-long,-splng] / __ ɲ
#t̪ˌɨsd̪mˈũɲ# | Rule 429 : ˌɛ > ˌɨ / __ [+cor,-nas,+cont] [+cons,-nas]
#t̪ˌɛsd̪mˈũɲ# | Rule 435 : {ˌɨ;ˌɯ} > {ˌɛ;ˌɔ} 
#t̪ˌɛsmˈũɲ# | Rule 482 : [+cons] > ∅ / [+cons] __ [+nas,+cons]
#t̪ˌɛzmˈũɲ# | Rule 486 : s > z / [-cons] __ [+voi,+cons]
#t̪ˌɛzmˈũj̃ɲ# | Rule 525 : ∅ > j̃ / [+tense,+syl] __ ɲ #
#t̪ˌɛːzmˈũj̃ɲ# | Rule 558 : [+stres] > [+long] / @ __ z [+cons] [+syl]
#t̪ˌɛːmˈũj̃ɲ# | Rule 559 : z > ∅ / __ [+cons]
#t̪ˌɛ̃ːmˈũj̃ɲ# | Rule 621 : [+syl,-hi] > [+nas,+son,0delrel] / __ [+nas,-syl]
#t̪ˌɛ̃ːmwˈĩɲ# | Rule 622 : {ũ j̃;ˌũ j̃;ˈũ j̃} > {w ĩ;w ˌĩ;w ˈĩ} 
#t̪ˌɛ̃ːmwˈĩn̪# | Rule 651 : ɲ > n̪ / __ #
#t̪ˌɛ̃ːmwˈẽn̪# | Rule 660 : [+front,+nas,+syl] > [-hi] / w __ 
#t̪ˌɛ̃ːmwˈɛ̃n̪# | Rule 674 : [+front,-round,+syl,-lo] > [-hi,-tense,-cons,-lat,+cont,0delrel] / w __ 
#t̪ˌɛ̃ːmwˈɛ̃ː# | Rule 676 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ #
#t̪ˌɛːmwˈɛ̃ː# | Rule 701 : [+front,-lo,+nas,+syl] > [-nas] / __ [+nas,+cons] [-cons]
#t̪ɛːmwɛ̃ː# | Rule 747 : [+stres] > [-stres,-prim,+syl,+son,0delrel] 
#t̪ɛmwɛ̃# | Rule 749 : [+syl,+long] > [-long,-splng] 
