Trajectory file for run 'run1'; etymon number :631:
#mˌɑlehˈɑbit̪um# >>> #majɛd̪# ( Correct : #malad̪#) :
m ˌɑ l e h ˈɑ b i t̪ u m 
#mˌɑlɛhˈɑbɪt̪ʊm# | Rule 12 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#mˌɑlɛˈɑbɪt̪ʊm# | Rule 13 : h > ∅ / @ __ 
#mˌɑljˈɑbɪt̪ʊm# | Rule 21 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,.stres,.prim,-cons,-lat,+cont,.delrel] / __ [+syl]
#mˌɑlʝˈɑbɪt̪ʊm# | Rule 24 : j > ʝ / __ [+syl]
#mˌɑlʝˈɑβɪt̪ʊm# | Rule 39 : b > β / [+syl] __ [+son,-lat,-nas]
#mˌɑlʝˈɑβet̪om# | Rule 52 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#mˌɑlʝˈɑβet̪o# | Rule 57 : m > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#mˌɑʎˈɑβet̪o# | Rule 73 : l ʝ > ʎ 
#mˌɑʎˈɑːβet̪o# | Rule 79 : [+prim] > [+long] / __ [+cons] [-cons]
#mˌaʎˈaːβet̪o# | Rule 147 : [+lo,+syl] > [+front,-back] 
#mˌaʎˈɛːβet̪o# | Rule 185 : [+lo,+syl] > [-lo,+front,-tense,-cons,-lat,+cont,.delrel] / [+front,+cons] __ [+cons] [-cons]
#mˌaʎˈie̯βet̪o# | Rule 187 : {ˈɛː;ˈɔː} > {ˈi e̯;ˈu o̯} 
#mˌaʎˈie̯βət̪o# | Rule 199 : [+syl,-stres] > ə / __ ( [-syl] )* [+syl] ( [-syl] )* #
#mˌaʎˈie̯βət̪ə# | Rule 201 : [-stres,-lo,+syl] > ə 
#mˌaʎˈie̯βə̯t̪ə̯# | Rule 202 : ə > ə̯ 
#mˌaʎˈie̯βə̯t̪ə# | Rule 213 : ə̯ > ə / ə̯ ( [-syl] )* __ #
#mˌaʎˈie̯βt̪ə# | Rule 214 : ə̯ > ∅ 
#mˌaʎˈie̯βd̪ə# | Rule 215 : t̪ > d̪ / [+lab,+voi,-hi,+cons] __ 
#mˌaʎˈie̯d̪d̪ə# | Rule 219 : [+lab,-nas,-round,+cons] > d̪ / __ [-cont,+cor,+voi]
#mˌaʎˈiːe̯d̪d̪ə# | Rule 233 : [+prim] > [+long] / __ [-cons]
#mˌaʎˈie̯d̪d̪ə# | Rule 237 : [+syl] > [-long,-splng] / __ e̯
#mˌaʎˈiːe̯d̪d̪ə# | Rule 265 : [+prim] > [+long] / __ [-cons]
#mˌaʎˈie̯d̪d̪ə# | Rule 269 : [+syl] > [-long,-splng] / __ e̯
#mˌaʎˈie̯d̪ə# | Rule 331 : [+cor,-cont,-delrel] > ∅ / __ [+cor,-cont]
#mˌaʎjˈed̪ə# | Rule 396 : {ˈi e̯;ˌɛ a̯;ˈɛ a̯;ˈy ø̯} > {j ˈe;e̯ ˌa;e̯ ˈa;ɥ ˈø} 
#mˌaʎjˈɛd̪ə# | Rule 435 : ˈe > ˈɛ 
#mˌaʎˈɛd̪ə# | Rule 441 : j > ∅ / [+front,+cons] __ [+front,-hi,-lo,-tense,+syl]
#mˌaʎˈɛd̪ə̯# | Rule 499 : ə > ə̯ / __ #
#mˌaʎˈɛd̪# | Rule 506 : ə̯ > ∅ 
#maʎɛd̪# | Rule 517 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#majɛd̪# | Rule 525 : ʎ > j 
