Trajectory file for run 'run1'; etymon number :1173:
#t̪ˌɑksoːn̪ˈɑːriɑm# >>> #t̪ɛn̪ʲɛʁ# ( Correct : #t̪an̪jɛʁ#) :
t̪ ˌɑ k s oː n̪ ˈɑː r i ɑ m 
#t̪ˌɑksoːn̪ˈɑːrɪɑm# | Rule 12 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#t̪ˌɑksoːn̪ˈɑːrjɑm# | Rule 21 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,.stres,.prim,-cons,-lat,+cont,.delrel] / __ [+syl]
#t̪ˌɑksoːn̪ˈɑːrʝɑm# | Rule 24 : j > ʝ / __ [+syl]
#t̪ˌɑkson̪ˈɑːrʝɑm# | Rule 44 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#t̪ˌɑkson̪ˈɑrʝɑm# | Rule 45 : [+syl,+long] > [-long,-splng] 
#t̪ˌɑxson̪ˈɑrʝɑm# | Rule 50 : k > x / [-cons] __ [+cor,-voi]
#t̪ˌɑxson̪ˈɑrʝɑ# | Rule 59 : m > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#t̪ˌɑxson̪ˈɑrʲɑ# | Rule 140 : r ʝ > rʲ 
#t̪ˌaxson̪ˈarʲa# | Rule 155 : [+lo,+syl] > [+front,-back] 
#t̪ˌaçson̪ˈarʲa# | Rule 164 : [+back,+hi,+cont,-son] > [-back,+front] / __ [+cor]
#t̪ˌaçsʲon̪ˈarʲa# | Rule 169 : [+cor,+ant,-lat] > [+hi,+front] / [+hi,+front,+cons] __ 
#t̪ˌaçsʲon̪ˈaːrʲa# | Rule 178 : [+prim] > [+long] / __ [+cons] [+syl]
#t̪ˌaçsʲon̪ˈaːrʲɛ# | Rule 191 : [+lo,+syl] > [-lo,+front,-tense,-cons,-lat,+cont,.delrel] / [+front,+cons] __ #
#t̪ˌaç?on̪ˈaːrʲɛ# | Rule 204 : [+hi,+front,-syl,+cont] > [-cont,-son,-delrel,+cons,.tense] / [+cons] __ [+syl]
#t̪ˌaç?ən̪ˈaːrʲɛ# | Rule 208 : [+syl,-stres,-lo] > ə / __ ( [-syl] )* [+syl,+lo,+prim]
#t̪ˌaç?ən̪ˈaːrʲə# | Rule 209 : [-stres,-lo,+syl] > ə 
#t̪ˌaç?ə̯n̪ˈaːrʲə̯# | Rule 210 : ə > ə̯ 
#t̪ˌaç?n̪ˈaːrʲ# | Rule 222 : ə̯ > ∅ 
#t̪ˌaç?n̪ʲˈaːrʲ# | Rule 225 : [+cor,+ant,-lat] > [+hi,+front] / [+hi,+front,+cons] __ 
#t̪ˌaç?n̪ʲˈarʲ# | Rule 236 : [+syl] > [-long,-splng] / __ [+cons] #
#t̪ˌaç?n̪ʲˈajr# | Rule 265 : {t̪ʲ;d̪ʲ;sʲ;zʲ;rʲ} > {j t̪;j d̪;j s;j z;j r} 
#t̪ˌaç?n̪ʲˈaːjr# | Rule 273 : [+prim] > [+long] / __ [-cons]
#t̪ˌaç?n̪ʲˈajr# | Rule 281 : [+syl] > [-long,-splng] / __ [-syl,-cons] [-syl]
#t̪ˌaʝ?n̪ʲˈajr# | Rule 311 : ç > ʝ 
#t̪ˌaj?n̪ʲˈajr# | Rule 313 : ʝ > j / [-cons] __ 
#t̪ˌajðn̪ʲˈajr# | Rule 324 : [-cont,-delrel,+cor] > ð / [-cons] __ [+son,+cor]
#t̪ˌajðn̪ʲˈajrə# | Rule 350 : ∅ > ə / [+front,-syl,+hi] r __ #
#t̪ˌajn̪ʲˈajrə# | Rule 400 : {θ;ð} > {∅;∅} 
#t̪ˌɛjn̪ʲˈɛjrə# | Rule 406 : [+lo,+syl] > [-lo,-tense,-cons,-lat,+cont,.delrel] / __ j [+cons]
#t̪ˌɛːn̪ʲˈɛːrə# | Rule 431 : {ˌɛ j;ˌɛː j;ˈɛ j;ˈɛː j} > {ˌɛː;ˌɛː;ˈɛː;ˈɛː} / __ [+cons]
#t̪ˌɛ̃ːn̪ʲˈɛːrə# | Rule 440 : [+syl,-hi] > [+nas,+son,.delrel] / __ [+nas,+cons]
#t̪ˌɛ̃ːn̪ʲˈɛːrə̯# | Rule 507 : ə > ə̯ / __ #
#t̪ˌɛ̃ːn̪ʲˈɛːr# | Rule 514 : ə̯ > ∅ 
#t̪ˌɛːn̪ʲˈɛːr# | Rule 517 : [+front,-round,+syl,+nas] > [-nas] / __ [+cons,+nas] [-cons]
#t̪ˌɛːn̪ʲˈɛːʀ# | Rule 524 : r > ʀ 
#t̪ɛːn̪ʲɛːʀ# | Rule 525 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#t̪ɛn̪ʲɛʀ# | Rule 526 : [+syl,+long] > [-long,-splng] 
#t̪ɛn̪ʲɛʁ# | Rule 532 : ʀ > ʁ 
