Trajectory file for run 'run1'; etymon number :363:
#ˌimperɑːt̪ˈoːrem# >>> #ɑ̃pʁœʁ# ( Correct : #ɑ̃pʁœʁ#) :
ˌi m p e r ɑː t̪ ˈoː r e m 
#ˌɪmpɛrɑːt̪ˈoːrɛm# | Rule 12 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,0delrel] 
#ˌɪmpɛrɑt̪ˈorɛm# | Rule 56 : [+syl,+long] > [-long,-splng] 
#ˌempɛrɑt̪ˈorɛm# | Rule 67 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,0delrel] 
#ˌempɛrɑt̪ˈorɛ# | Rule 72 : [+nas,+cons] > ∅ / [-stres] __ #
#ˌempɛrɑt̪ˈoːrɛ# | Rule 113 : [+prim] > [+long] / __ [+cons] [-cons]
#ˌempɛrat̪ˈoːrɛ# | Rule 202 : [+lo] > [+front,-back] 
#ˌempərat̪ˈoːrɛ# | Rule 272 : [-stres,-lo,+syl] > ə / __ [-syl]
#ˌempərat̪ˈoːrə# | Rule 273 : [-stres,-lo,+syl] > ə / __ #
#ˌempə̯rat̪ˈoːrə̯# | Rule 281 : ə > ə̯ 
#ˌemprat̪ˈoːr# | Rule 305 : ə̯ > ∅ 
#ˌemprad̪ˈoːr# | Rule 358 : [-voi] > [+voi] / [-cons] __ [-cons]
#ˌempraðˈoːr# | Rule 384 : [-delrel,+voi] > [+cont,0delrel] / [-cons] __ [-cons]
#ˌempraðˈowr# | Rule 421 : {ˈaː;ˈeː;ˈoː;ˈɛː} > {ˈa e̯;ˈe j;ˈo w;ˈi e̯} 
#ˌemprəðˈowr# | Rule 451 : a > ə / [+syl] ( [-syl] )* __ 
#ˌẽmprəðˈowr# | Rule 530 : [+front,-hi,+syl] > [+nas,+son,0delrel] / __ [+nas,-syl]
#ˌẽmprəðˈewr# | Rule 562 : ˈo > ˈe / __ w
#ˌɛ̃mprəðˈewr# | Rule 580 : [+front,-hi,-lo,+syl,+nas] > [-tense,-cons,-lat,+cont,0delrel] 
#ˌãmprəðˈewr# | Rule 584 : [+nas,-hi,+syl] > [+lo,+tense,-cons,-lat,+cont,0delrel] / __ [+cons]
#ˌãmprəˈewr# | Rule 607 : {θ;ð} > {∅;∅} 
#ˌãmprəˈøwr# | Rule 608 : [-hi,-lo,+tense,+syl] > [+round,+lab] / __ w
#ˌãmprəˈør# | Rule 617 : w > ∅ / [+round,+front,-hi,+syl] __ 
#ˌãn̪prəˈør# | Rule 652 : m > n̪ / __ [+cons]
#ˌãn̪prə̯ˈør# | Rule 655 : ə > ə̯ / __ [-cons]
#ˌãːprə̯ˈør# | Rule 677 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#ˌãːprə̯ˈœr# | Rule 707 : [-hi,-lo,+syl,+front,+round] > [-tense,-cons,-lat,+cont,0delrel] / __ r #
#ˌãːprə̯ˈœːr# | Rule 709 : [+stres] > [+long] / ə̯ __ 
#ˌãːprˈœːr# | Rule 710 : ə̯ > ∅ / __ [-cons]
#ˌɑ̃ːprˈœːr# | Rule 716 : [+lo,+long,+syl] > [+back,-front] 
#ˌɑ̃ːprˈœːɹ# | Rule 724 : r > ɹ / [-cons] __ #
#ˌɑ̃ːprˈœːr# | Rule 746 : ɹ > r 
#ˌɑ̃ːpʀˈœːʀ# | Rule 748 : r > ʀ 
#ɑ̃ːpʀœːʀ# | Rule 749 : [+stres] > [-stres,-prim,+syl,+son,0delrel] 
#ɑ̃pʀœʀ# | Rule 751 : [+syl,+long] > [-long,-splng] 
#ɑ̃pʁœʁ# | Rule 757 : ʀ > ʁ 
