Trajectory file for run 'run1'; etymon number :1049:
#sˌɑːn̪kt̪it̪ˈɑːt̪em# >>> #sɛ̃t̪jɛ# ( Correct : #sɛ̃t̪ət̪e#) :
s ˌɑː n̪ k t̪ i t̪ ˈɑː t̪ e m 
#sˌɑːŋkt̪it̪ˈɑːt̪em# | Rule 0 : n̪ > ŋ / __ [+hi,+back,-cont]
#sˌɑːŋkt̪ɪt̪ˈɑːt̪ɛm# | Rule 14 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#sˌɑŋkt̪ɪt̪ˈɑt̪ɛm# | Rule 51 : [+syl,+long] > [-long,-splng] 
#sˌɑŋt̪ɪt̪ˈɑt̪ɛm# | Rule 54 : k > ∅ / ŋ __ [+cor,-voi]
#sˌɑŋt̪et̪ˈɑt̪ɛm# | Rule 60 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#sˌɑŋt̪et̪ˈɑt̪ɛ# | Rule 65 : [+nas,+cons] > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#sˌɑŋt̪et̪ˈɑːt̪ɛ# | Rule 93 : [+prim] > [+long] / __ [+cons] [-cons]
#sˌɑŋt̪t̪ˈɑːt̪ɛ# | Rule 162 : e > ∅ / __ t̪ [+lo,+long]
#sˌaŋt̪t̪ˈaːt̪ɛ# | Rule 165 : [+lo,+syl] > [+front,-back] 
#sˌaŋt̪ˈaːt̪ɛ# | Rule 171 : {n̪ n̪;s s;d̪ d̪;t̪ t̪;w w;m m} > {n̪;s;d̪;t̪;w;m} / [+cons] __ 
#sˌaɲt̪ˈaːt̪ɛ# | Rule 174 : ŋ > ɲ / __ [+ant,+distr]
#sˌaɲt̪ʲˈaːt̪ɛ# | Rule 178 : [+cor,+ant,-lat] > [+hi,+front] / [+hi,+front,+cons] __ 
#sˌaɲt̪ʲˈɛːt̪ɛ# | Rule 201 : ˈaː > ˈɛː / [+cons,+front] __ [+cons,-front,-nas]
#sˌaɲt̪ʲˈie̯t̪ɛ# | Rule 203 : {ˈɛː;ˈɔː} > {ˈi e̯;ˈu o̯} 
#sˌaɲt̪ʲˈie̯t̪ə# | Rule 225 : [-stres,-lo,+syl] > ə / __ #
#sˌaɲt̪ʲˈie̯t̪ə̯# | Rule 227 : ə > ə̯ 
#sˌaɲt̪ʲˈie̯t̪# | Rule 240 : ə̯ > ∅ 
#sˌaɲjt̪ˈie̯t̪# | Rule 280 : {t̪ʲ;d̪ʲ;sʲ;zʲ;rʲ} > {j t̪;j d̪;j s;j z;j r} 
#sˌaɲt̪ˈie̯t̪# | Rule 281 : j > ∅ / [+hi,+front,-syl] __ [-syl]
#sˌajn̪t̪ˈie̯t̪# | Rule 308 : ɲ > j n̪ / __ [+cons]
#sˌaj̃n̪t̪ˈie̯t̪# | Rule 370 : j > j̃ / [+lo,+syl] __ [+nas,-syl]
#sˌãj̃n̪t̪ˈie̯t̪# | Rule 371 : [+lo,+syl] > [+nas,+son,.delrel] / __ [+nas,-syl]
#sˌãj̃n̪t̪jˈet̪# | Rule 417 : {ˈi e̯;ˌɛ a̯;ˈɛ a̯;ˈy ø̯} > {j ˈe;e̯ ˌa;e̯ ˈa;ɥ ˈø} 
#sˌɛ̃j̃n̪t̪jˈet̪# | Rule 421 : [+lo,+nas] > [-lo,-tense,-cons,-lat,+cont,.delrel] / __ j̃
#sˌɛ̃j̃n̪t̪jˈɛt̪# | Rule 456 : ˈe > ˈɛ 
#sˌɛ̃n̪t̪jˈɛt̪# | Rule 460 : j̃ > ∅ / [+nas,+front,-tense] __ 
#sˌɛ̃ːt̪jˈɛt̪# | Rule 506 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#sˌɛ̃ːt̪jˈɛ# | Rule 526 : [-son] > ∅ / __ #
#sɛ̃ːt̪jɛ# | Rule 538 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#sɛ̃t̪jɛ# | Rule 539 : [+syl,+long] > [-long,-splng] 
