Trajectory file for run 'run1'; etymon number :565:
#lˌɑːt̪roːkˈin̪ium# >>> #laʁizʲɛ̃# ( Correct : #laʁsɛ̃#) :
l ˌɑː t̪ r oː k ˈi n̪ i u m 
#lˌɑːt̪roːkˈɪn̪ɪʊm# | Rule 14 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#lˌɑːt̪roːkˈɪn̪jʊm# | Rule 24 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,.stres,.prim,-cons,-lat,+cont,.delrel] / __ [+syl]
#lˌɑːt̪roːkˈɪn̪ʝʊm# | Rule 27 : j > ʝ / __ [+syl]
#lˌɑːt̪rokˈɪn̪ʝʊm# | Rule 50 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#lˌɑt̪rokˈɪn̪ʝʊm# | Rule 51 : [+syl,+long] > [-long,-splng] 
#lˌɑt̪rokˈen̪ʝom# | Rule 60 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#lˌɑt̪rokˈen̪ʝo# | Rule 65 : [+nas,+cons] > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#lˌɑt̪rokʲˈen̪ʝo# | Rule 70 : [+hi,+back,-cont] > [+front] / __ [+cont,-lo,+front]
#lˌɑt̪rocˈen̪ʝo# | Rule 71 : [+back,+front] > [-back] 
#lˌɑt̪rocˈeɲo# | Rule 80 : [+nas,+cor] [+hi,+front,-syl,+voi,+cont] > ɲ
#lˌɑt̪rocˈeːɲo# | Rule 93 : [+prim] > [+long] / __ [+cons] [-cons]
#lˌɑt̪rocˈiːɲo# | Rule 136 : ˈeː > ˈiː / [+cons,+hi,+front] __ 
#lˌɑt̪rot͡sʲˈiːɲo# | Rule 152 : {c;ɟ} > {t͡sʲ;d͡ʒ} 
#lˌat̪rot͡sʲˈiːɲo# | Rule 165 : [+lo,+syl] > [+front,-back] 
#lˌat̪rət͡sʲˈiːɲo# | Rule 224 : [-stres,-lo,+syl] > ə / __ [-syl]
#lˌat̪rət͡sʲˈiːɲə# | Rule 225 : [-stres,-lo,+syl] > ə / __ #
#lˌat̪rə̯t͡sʲˈiːɲə̯# | Rule 227 : ə > ə̯ 
#lˌat̪rət͡sʲˈiːɲə̯# | Rule 228 : ə̯ > ə / [+stres] ( [-syl] )* [-son] r __ ( [-syl] )* [+stres]
#lˌat̪rət͡sʲˈiːɲ# | Rule 250 : ə̯ > ∅ 
#lˌat̪rəd͡zʲˈiːɲ# | Rule 281 : [-voi] > [+voi] / [+syl] __ [+syl]
#lˌad̪rəd͡zʲˈiːɲ# | Rule 282 : [-voi,-delrel,+ant] > [+voi] / [+syl] __ [+cor,+son,-nas]
#lˌaðrəd͡zʲˈiːɲ# | Rule 286 : [-delrel,+voi] > [+cont,.delrel] / [-cons] __ r
#lˌarəd͡zʲˈiːɲ# | Rule 424 : {θ;ð} > {∅;∅} 
#lˌarid͡zʲˈiːɲ# | Rule 425 : {e;ə} > {i;i} / __ [+hi,+front,+cons]
#lˌarid͡zʲˈĩːɲ# | Rule 451 : [+syl] > [+nas,+son,.delrel] / __ [+nas,+cons]
#lˌarid͡zʲˈĩːn̪# | Rule 460 : ɲ > n̪ / __ #
#lˌarizʲˈĩːn̪# | Rule 461 : [+delrel] > [+cont,.delrel] 
#lˌarizʲˈɛ̃ːn̪# | Rule 470 : [+nas,+front,-round,-lo,+syl] > [-hi,-tense,-cons,-lat,+cont,.delrel] 
#lˌarizʲˈɛ̃ː# | Rule 518 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ #
#lˌaʀizʲˈɛ̃ː# | Rule 548 : r > ʀ 
#laʀizʲɛ̃ː# | Rule 549 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#laʀizʲɛ̃# | Rule 550 : [+syl,+long] > [-long,-splng] 
#laʁizʲɛ̃# | Rule 556 : ʀ > ʁ 
