Trajectory file for run 'ᵲun1'; etymon number :132:
#bˈowes# >>> #bœ# ( Correct : #bø#) :
b ˈo w e s 
#bˈoɣʷes# | Rule 5 : {j;w} > {ʝ;ɣʷ} / __ [+syl]
#bˈɔɣʷɛs# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#bˈɔβʷɛs# | Rule 50 : ɣʷ > βʷ 
#bˈɔːβʷɛs# | Rule 111 : [+prim] > [+long] / __ [+cons] [-cons]
#bˈɔːβɛs# | Rule 157 : {βʷ;ɸʷ} > {β;ɸ} 
#bˈuo̯βɛs# | Rule 165 : {ˈɛː;ˈɔː} > {ˈi e̯;ˈu o̯} 
#bˈʉo̯βɛs# | Rule 216 : [+hi,+tense,+round,+syl,-nas] > [-front,-back] 
#bˈʉo̯βəs# | Rule 265 : [-stres,-lo,+syl] > ə / __ [-syl]
#bˈʉo̯βə̯s# | Rule 268 : ə > ə̯ 
#bˈʉo̯βs# | Rule 302 : ə̯ > ∅ 
#bˈʉo̯ss# | Rule 334 : [+lab,-nas,-round,+cons] > s / __ s
#bˈʉo̯s# | Rule 480 : {p p;b b;f f;m m;t̪ t̪;t̪ t͡s;t̪ t͡sʲ;t̪ t͡ʃ;d̪ d̪;d̪ d͡ʒ;n̪ n̪;s s;z z;l l;k k;ɡ ɡ} > {p;b;f;m;t̪;t͡s;t͡sʲ;t͡ʃ;d̪;d͡ʒ;n̪;s;z;l;k;ɡ} 
#bˈyo̯s# | Rule 490 : [+hi,+round,-back] > [+front] 
#bˈye̯s# | Rule 516 : o̯ > e̯ 
#bˈøs# | Rule 559 : [+hi,+round,+tense,+prim] e̯ > ˈø
#bˈø# | Rule 692 : [-son] > ∅ / __ #
#bø# | Rule 705 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#bœ# | Rule 709 : ø > œ / __ ( [+cons] )* #
