Trajectory file for run 'ᵲun1'; etymon number :569:
#lˈɑt̪us# >>> #lɛ# ( Correct : #le#) :
l ˈɑ t̪ u s 
#lˈɑt̪ʊs# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#lˈɑt̪os# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#lˈɑːt̪os# | Rule 111 : [+prim] > [+long] / __ [+cons] [-cons]
#lˈaːt̪os# | Rule 197 : [+lo,+syl] > [+front,-back] 
#lˈaːt̪əs# | Rule 265 : [-stres,-lo,+syl] > ə / __ [-syl]
#lˈaːt̪ə̯s# | Rule 268 : ə > ə̯ 
#lˈaːt̪s# | Rule 302 : ə̯ > ∅ 
#lˈaːt͡s# | Rule 325 : [+ant,+cor,+distr,-nas] s > t͡s/ __ #
#lˈae̯t͡s# | Rule 406 : {ˈaː;ˈeː;ˈoː;ˈɛː} > {ˈa e̯;ˈe j;ˈo w;ˈi e̯} 
#lˈeːt͡s# | Rule 534 : {a e̯;ˌa e̯;ˈa e̯} > {eː;ˌeː;ˈeː} 
#lˈeːs# | Rule 614 : [+delrel] > [+cont,.delrel] 
#lˈɛːs# | Rule 685 : ˈeː > ˈɛː / __ [+cons] #
#lˈɛː# | Rule 692 : [-son] > ∅ / __ #
#lɛː# | Rule 705 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#lɛ# | Rule 706 : [+syl,+long] > [-long,-splng] 
