Trajectory file for run 'ᵲun1'; etymon number :972:
#pˈun̪kt̪um# >>> #pɔ̃j̃# ( Correct : #pwɛ̃#) :
p ˈu n̪ k t̪ u m 
#pˈuŋkt̪um# | Rule 0 : n̪ > ŋ / __ [+hi,+back,-cont]
#pˈʊŋkt̪ʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#pˈʊŋt̪ʊm# | Rule 59 : k > ∅ / ŋ __ [+cor,-voi]
#pˈoŋt̪om# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#pˈoŋt̪o# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#pˈũŋt̪o# | Rule 164 : [+round,-hi] > [+tense,+hi,+nas,-cons,+son,-lat,+cont,.delrel] / __ [+nas,+cons]
#pˈũɲt̪o# | Rule 171 : ŋ > ɲ / __ [+cor]
#pˈũɲt̪ʲo# | Rule 215 : [+cor,+ant,-lat] > [+hi,+front] / [+hi,+front,+cons] __ 
#pˈũɲt̪ʲə# | Rule 266 : [-stres,-lo,+syl] > ə / __ #
#pˈũɲt̪ʲə̯# | Rule 268 : ə > ə̯ 
#pˈũɲt̪ʲ# | Rule 302 : ə̯ > ∅ 
#pˈũɲt̪# | Rule 385 : {t̪ʲ;d̪ʲ;sʲ;zʲ;n̪ʲ;d͡zʲ} > {t̪;d̪;s;z;n̪;d͡z} / [+hi,+front,-syl] __ 
#pˈũɲt̪ʲ# | Rule 387 : {t̪;d̪;s} > {t̪ʲ;d̪ʲ;sʲ} / [-syl,+hi,+front,+cont,-strid] __ #
#pˈũj̃n̪t̪ʲ# | Rule 434 : ɲ > j̃ n̪ / __ [+cons]
#pˈũj̃n̪t̪# | Rule 628 : {sʲ;d̪ʲ;t̪ʲ} > {s;d̪;t̪} 
#pˈũːj̃t̪# | Rule 674 : [+nas,+syl] j̃ [+nas,+cons] > [+long] j̃ ∅/ __ [+cons]
#pˈũːj̃# | Rule 692 : [-son] > ∅ / __ #
#pũːj̃# | Rule 705 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#pũj̃# | Rule 706 : [+syl,+long] > [-long,-splng] 
#pɔ̃j̃# | Rule 707 : [+back,-lo,+nas,+syl] > ɔ̃ 
