Trajectory file for run 'ᵲun1'; etymon number :106:
#bˌɑst̪ˈoːn̪em# >>> #bast̪ɔ̃# ( Correct : #bɑt̪ɔ̃#) :
b ˌɑ s t̪ ˈoː n̪ e m 
#bˌɑst̪ˈoːn̪ɛm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#bˌɑst̪ˈon̪ɛm# | Rule 55 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#bˌɑst̪ˈon̪ɛ# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#bˌɑst̪ˈoːn̪ɛ# | Rule 111 : [+prim] > [+long] / __ [+cons] [-cons]
#bˌɑst̪ˈũːn̪ɛ# | Rule 164 : [+round,-hi] > [+tense,+hi,+nas,-cons,+son,-lat,+cont,.delrel] / __ [+nas,+cons]
#bˌast̪ˈũːn̪ɛ# | Rule 197 : [+lo,+syl] > [+front,-back] 
#bˌast̪ˈũːn̪ə# | Rule 266 : [-stres,-lo,+syl] > ə / __ #
#bˌast̪ˈũːn̪ə̯# | Rule 268 : ə > ə̯ 
#bˌast̪ˈũːn̪# | Rule 302 : ə̯ > ∅ 
#bˌast̪ˈũː# | Rule 673 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ #
#bast̪ũː# | Rule 705 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#bast̪ũ# | Rule 706 : [+syl,+long] > [-long,-splng] 
#bast̪ɔ̃# | Rule 707 : [+back,-lo,+nas,+syl] > ɔ̃ 
