Trajectory file for run 'ᵲun1'; etymon number :125:
#blˈɑn̪kum# >>> #blɑ̃# ( Correct : #blɑ̃#) :
b l ˈɑ n̪ k u m 
#blˈɑŋkum# | Rule 0 : n̪ > ŋ / __ [+hi,+back,-cont]
#blˈɑŋkʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#blˈɑŋkom# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#blˈɑŋko# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#blˈaŋko# | Rule 197 : [+lo,+syl] > [+front,-back] 
#blˈaŋkə# | Rule 266 : [-stres,-lo,+syl] > ə / __ #
#blˈaŋkə̯# | Rule 268 : ə > ə̯ 
#blˈaŋk# | Rule 302 : ə̯ > ∅ 
#blˈãŋk# | Rule 492 : [+lo,+syl] > [+nas,+son,.delrel] / __ [+nas,-syl]
#blˈãːk# | Rule 672 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#blˈãː# | Rule 692 : [-son] > ∅ / __ #
#blãː# | Rule 705 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#blã# | Rule 706 : [+syl,+long] > [-long,-splng] 
#blɑ̃# | Rule 711 : {ã;ãː} > {ɑ̃;ɑ̃ː} 
