Trajectory file for run 'ᵲun1'; etymon number :863:
#pˈessimum# >>> #pɛ̃m# ( Correct : #pɛm#) :
p ˈe s s i m u m 
#pˈɛssɪmʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#pˈɛssemom# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#pˈɛssemo# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#pˈɛssəmo# | Rule 263 : [+syl,-stres,-lo] > ə / __ [-syl] ( [-syl] )* [+syl] ( [-syl] )* #
#pˈɛssəmə# | Rule 266 : [-stres,-lo,+syl] > ə / __ #
#pˈɛssə̯mə̯# | Rule 268 : ə > ə̯ 
#pˈɛssə̯mə# | Rule 298 : ə̯ > ə / ə̯ ( [-syl] )* __ #
#pˈɛssmə# | Rule 302 : ə̯ > ∅ 
#pˈɛsmə# | Rule 342 : {s s;m m} > {s;m} / __ [+cons]
#pˈɛzmə# | Rule 466 : s > z / __ [+voi,+cons]
#pˈɛːzmə# | Rule 514 : [+syl] > [+long] / __ z [+cons]
#pˈɛːmə# | Rule 515 : z > ∅ / __ [+cons]
#pˈɛ̃ːmə# | Rule 595 : [+syl,-hi] > [+nas,+son,.delrel] / __ [+nas]
#pˈɛ̃ːmə̯# | Rule 686 : ə > ə̯ / __ #
#pˈɛ̃ːm# | Rule 693 : ə̯ > ∅ 
#pɛ̃ːm# | Rule 705 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#pɛ̃m# | Rule 706 : [+syl,+long] > [-long,-splng] 
