Trajectory file for run 'ᵲun1'; etymon number :922:
#pˈorkoːs# >>> #pɔʁ# ( Correct : #pɔʁ#) :
p ˈo r k oː s 
#pˈɔrkoːs# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#pˈɔrkos# | Rule 55 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#pˈɔrkəs# | Rule 265 : [-stres,-lo,+syl] > ə / __ [-syl]
#pˈɔrkə̯s# | Rule 268 : ə > ə̯ 
#pˈɔrks# | Rule 302 : ə̯ > ∅ 
#pˈɔrs# | Rule 431 : k > ∅ / __ s #
#pˈɔɹs# | Rule 688 : r > ɹ / [-cons] __ [+cons]
#pˈɔɹ# | Rule 692 : [-son] > ∅ / __ #
#pˈɔr# | Rule 702 : ɹ > r 
#pˈɔʀ# | Rule 704 : r > ʀ 
#pɔʀ# | Rule 705 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#pɔʁ# | Rule 712 : ʀ > ʁ 
