Trajectory file for run 'ᵲun1'; etymon number :970:
#pˈun̪kt̪ɑm# >>> #pɔ̃j̃t̪# ( Correct : #pwɛ̃t̪#) :
p ˈu n̪ k t̪ ɑ m 
#pˈuŋkt̪ɑm# | Rule 0 : n̪ > ŋ / __ [+hi,+back,-cont]
#pˈʊŋkt̪ɑm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#pˈʊŋt̪ɑm# | Rule 59 : k > ∅ / ŋ __ [+cor,-voi]
#pˈoŋt̪ɑm# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#pˈoŋt̪ɑ# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#pˈũŋt̪ɑ# | Rule 164 : [+round,-hi] > [+tense,+hi,+nas,-cons,+son,-lat,+cont,.delrel] / __ [+nas,+cons]
#pˈũɲt̪ɑ# | Rule 171 : ŋ > ɲ / __ [+cor]
#pˈũɲt̪a# | Rule 197 : [+lo,+syl] > [+front,-back] 
#pˈũɲt̪ʲa# | Rule 215 : [+cor,+ant,-lat] > [+hi,+front] / [+hi,+front,+cons] __ 
#pˈũɲt̪a# | Rule 385 : {t̪ʲ;d̪ʲ;sʲ;zʲ;n̪ʲ;d͡zʲ} > {t̪;d̪;s;z;n̪;d͡z} / [+hi,+front,-syl] __ 
#pˈũɲt̪ə# | Rule 432 : a > ə / [+syl] ( [-syl] )* __ 
#pˈũj̃n̪t̪ə# | Rule 434 : ɲ > j̃ n̪ / __ [+cons]
#pˈũːj̃t̪ə# | Rule 674 : [+nas,+syl] j̃ [+nas,+cons] > [+long] j̃ ∅/ __ [+cons]
#pˈũːj̃t̪ə̯# | Rule 686 : ə > ə̯ / __ #
#pˈũːj̃t̪# | Rule 693 : ə̯ > ∅ 
#pũːj̃t̪# | Rule 705 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#pũj̃t̪# | Rule 706 : [+syl,+long] > [-long,-splng] 
#pɔ̃j̃t̪# | Rule 707 : [+back,-lo,+nas,+syl] > ɔ̃ 
