Trajectory file for run 'ᵲun1'; etymon number :930:
#pˌoːt̪iˈoːn̪em# >>> #pwazɔ̃# ( Correct : #pwazɔ̃#) :
p ˌoː t̪ i ˈoː n̪ e m 
#pˌoːt̪ɪˈoːn̪ɛm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#pˌoːt̪jˈoːn̪ɛm# | Rule 25 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,.stres,.prim,-cons,-lat,+cont,.delrel] / __ [+syl]
#pˌoːt̪ʝˈoːn̪ɛm# | Rule 28 : j > ʝ / __ [+syl]
#pˌot̪ʝˈon̪ɛm# | Rule 55 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#pˌot̪ʝˈon̪ɛ# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#pˌot͡sʲʝˈon̪ɛ# | Rule 74 : {t̪;d̪} > {t͡sʲ;ɟ} / __ [+hi,+front,-syl,+cont]
#pˌot͡sʲˈon̪ɛ# | Rule 86 : ʝ > ∅ / [-cont,+hi,+front] __ 
#pˌot͡sʲˈoːn̪ɛ# | Rule 111 : [+prim] > [+long] / __ [+cons] [-cons]
#pˌot͡sʲˈũːn̪ɛ# | Rule 164 : [+round,-hi] > [+tense,+hi,+nas,-cons,+son,-lat,+cont,.delrel] / __ [+nas,+cons]
#pˌot͡sʲˈũːn̪ə# | Rule 266 : [-stres,-lo,+syl] > ə / __ #
#pˌot͡sʲˈũːn̪ə̯# | Rule 268 : ə > ə̯ 
#pˌot͡sʲˈũːn̪# | Rule 302 : ə̯ > ∅ 
#pˌod͡zʲˈũːn̪# | Rule 354 : [-voi] > [+voi] / [-cons] __ [-cons]
#pˌojd͡zˈũːn̪# | Rule 386 : {t̪ʲ;d̪ʲ;sʲ;zʲ;n̪ʲ;d͡zʲ} > {j t̪;j d̪;j s;j z;j n̪;j d͡z} / [-cons] __ 
#pˌujd͡zˈũːn̪# | Rule 544 : [+round,+tense,+back] > [+hi] 
#pˌuɛ̯d͡zˈũːn̪# | Rule 598 : j > ɛ̯ / [+syl,+back,+round] __ 
#pwˌɛd͡zˈũːn̪# | Rule 599 : {u ɛ̯;ˌu ɛ̯;ˈu ɛ̯;ɔ ɛ̯;ˌɔ ɛ̯;ˈɔ ɛ̯} > {w ɛ;w ˌɛ;w ˈɛ;w ɛ;w ˌɛ;w ˈɛ} 
#pwˌɛzˈũːn̪# | Rule 614 : [+delrel] > [+cont,.delrel] 
#pwˌɛzˈũː# | Rule 673 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ #
#pwˌɛːzˈũː# | Rule 678 : [+syl] > [+long] / __ z [+syl]
#pwɛːzũː# | Rule 705 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#pwɛzũ# | Rule 706 : [+syl,+long] > [-long,-splng] 
#pwɛzɔ̃# | Rule 707 : [+back,-lo,+nas,+syl] > ɔ̃ 
#pwazɔ̃# | Rule 710 : ɛ > a / w __ 
