Trajectory file for run 'ᵲun1'; etymon number :1344:
#wˈiːwere# >>> #vivʁ# ( Correct : #vivʁ#) :
w ˈiː w e r e 
#ɣʷˈiːɣʷere# | Rule 5 : {j;w} > {ʝ;ɣʷ} / __ [+syl]
#ɣʷˈiːɣʷɛrɛ# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#βʷˈiːβʷɛrɛ# | Rule 50 : ɣʷ > βʷ 
#βʷˈiβʷɛrɛ# | Rule 55 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#βʷˈiːβʷɛrɛ# | Rule 111 : [+prim] > [+long] / __ [+cons] [-cons]
#βʷˈiːβʷrɛ# | Rule 139 : ɛ > ∅ / __ [+cor,+son,-nas] ( [-syl] )* [+syl] ( [-syl] )* #
#βˈiːβrɛ# | Rule 157 : {βʷ;ɸʷ} > {β;ɸ} 
#βˈiːβrə# | Rule 266 : [-stres,-lo,+syl] > ə / __ #
#βˈiːβrə̯# | Rule 268 : ə > ə̯ 
#βˈiːβr# | Rule 302 : ə̯ > ∅ 
#βˈiːβrə# | Rule 315 : ∅ > ə / [+cons,-son] [+son,-syl] __ #
#vˈiːvrə# | Rule 426 : β > v 
#vˈiːvrə̯# | Rule 686 : ə > ə̯ / __ #
#vˈiːvr# | Rule 693 : ə̯ > ∅ 
#vˈiːvʀ# | Rule 704 : r > ʀ 
#viːvʀ# | Rule 705 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#vivʀ# | Rule 706 : [+syl,+long] > [-long,-splng] 
#vivʁ# | Rule 712 : ʀ > ʁ 
