Trajectory file for run 'ᵲun1'; etymon number :711:
#mˈorsum# >>> #mɔʁ# ( Correct : #mɔʁ#) :
m ˈo r s u m 
#mˈɔrsʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#mˈɔrsom# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#mˈɔrso# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#mˈɔrsə# | Rule 266 : [-stres,-lo,+syl] > ə / __ #
#mˈɔrsə̯# | Rule 268 : ə > ə̯ 
#mˈɔrs# | Rule 302 : ə̯ > ∅ 
#mˈɔɹs# | Rule 688 : r > ɹ / [-cons] __ [+cons]
#mˈɔɹ# | Rule 692 : [-son] > ∅ / __ #
#mˈɔr# | Rule 702 : ɹ > r 
#mˈɔʀ# | Rule 704 : r > ʀ 
#mɔʀ# | Rule 705 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#mɔʁ# | Rule 712 : ʀ > ʁ 
