Trajectory file for run 'ᵲun1'; etymon number :1077:
#sˈejor# >>> #siʁ# ( Correct : #siʁ#) :
s ˈe j o r 
#sˈeʝor# | Rule 5 : {j;w} > {ʝ;ɣʷ} / __ [+syl]
#sˈɛʝɔr# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#sˈɛːʝɔr# | Rule 111 : [+prim] > [+long] / __ [+cons] [-cons]
#sˈie̯ʝɔr# | Rule 165 : {ˈɛː;ˈɔː} > {ˈi e̯;ˈu o̯} 
#sˈie̯ʝər# | Rule 265 : [-stres,-lo,+syl] > ə / __ [-syl]
#sˈie̯ʝə̯r# | Rule 268 : ə > ə̯ 
#sˈie̯ʝrə# | Rule 285 : ə̯ r > r ə / __ #
#sˈie̯ʝrʲə# | Rule 324 : [+cor,+ant,-lat] > [+hi,+front] / [+hi,+front,+cons] __ 
#sˈie̯jrʲə# | Rule 381 : ʝ > j 
#sˈie̯jrə# | Rule 384 : rʲ > r 
#sˈijrə# | Rule 538 : e̯ > ∅ / [+hi,+front,+tense,+prim] __ j
#sˈirə# | Rule 539 : j > ∅ / ˈi __ 
#sˈirə̯# | Rule 686 : ə > ə̯ / __ #
#sˈir# | Rule 693 : ə̯ > ∅ 
#sˈiʀ# | Rule 704 : r > ʀ 
#siʀ# | Rule 705 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#siʁ# | Rule 712 : ʀ > ʁ 
