Trajectory file for run 'ᵲun1'; etymon number :408:
#kˌɑpˈillum# >>> #ʃvɛl# ( Correct : #ʃəvø#) :
k ˌɑ p ˈi l l u m 
#kˌɑpˈɪllʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#kˌɑpˈellom# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#kˌɑpˈello# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#kˌapˈello# | Rule 197 : [+lo,+syl] > [+front,-back] 
#kʲˌapˈello# | Rule 234 : [+hi,+back,+cons] > [+front] / __ [+front,+syl]
#kʲˌɛpˈello# | Rule 237 : ˌa > ˌɛ / [+cons,+front] __ [-cor,-nas] [-cons]
#cˌɛpˈello# | Rule 245 : [+back,+front] > [-back] 
#t͡ʃˌɛpˈello# | Rule 254 : [+hi,+front,-cont,-ant] > [+delrel,+cor,-hi,+strid,+distr,-son] 
#t͡ʃˌɛpˈellə# | Rule 266 : [-stres,-lo,+syl] > ə / __ #
#t͡ʃˌɛpˈellə̯# | Rule 268 : ə > ə̯ 
#t͡ʃˌɛpˈell# | Rule 302 : ə̯ > ∅ 
#t͡ʃˌɛbˈell# | Rule 354 : [-voi] > [+voi] / [-cons] __ [-cons]
#t͡ʃˌɛβˈell# | Rule 377 : [-delrel,+voi] > [+cont,.delrel] / [-cons] __ [-cons]
#t͡ʃˌeβˈell# | Rule 413 : ˌɛ > ˌe / __ [-cor]
#t͡ʃˌevˈell# | Rule 426 : β > v 
#t͡ʃˌevˈel# | Rule 480 : {p p;b b;f f;m m;t̪ t̪;t̪ t͡s;t̪ t͡sʲ;t̪ t͡ʃ;d̪ d̪;d̪ d͡ʒ;n̪ n̪;s s;z z;l l;k k;ɡ ɡ} > {p;b;f;m;t̪;t͡s;t͡sʲ;t͡ʃ;d̪;d͡ʒ;n̪;s;z;l;k;ɡ} 
#t͡ʃˌəvˈel# | Rule 493 : ˌe > ˌə / t͡ʃ __ ( [+cons] ) [+syl]
#ʃˌəvˈel# | Rule 614 : [+delrel] > [+cont,.delrel] 
#ʃˌəvˈɛl# | Rule 622 : ˈe > ˈɛ 
#ʃəvɛl# | Rule 705 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#ʃvɛl# | Rule 718 : ə > ∅ / # [-syl] __ [-syl] [+syl]
