Trajectory file for run 'ᵲun1'; etymon number :139:
#brˈen̪n̪um# >>> #bʁɑ̃# ( Correct : #bʁɑ̃#) :
b r ˈe n̪ n̪ u m 
#brˈɛn̪n̪ʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#brˈɛn̪n̪om# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#brˈɛn̪n̪o# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#brˈɛn̪n̪ə# | Rule 266 : [-stres,-lo,+syl] > ə / __ #
#brˈɛn̪n̪ə̯# | Rule 268 : ə > ə̯ 
#brˈɛn̪n̪# | Rule 302 : ə̯ > ∅ 
#brˈɛn̪# | Rule 480 : {p p;b b;f f;m m;t̪ t̪;t̪ t͡s;t̪ t͡sʲ;t̪ t͡ʃ;d̪ d̪;d̪ d͡ʒ;n̪ n̪;s s;z z;l l;k k;ɡ ɡ} > {p;b;f;m;t̪;t͡s;t͡sʲ;t͡ʃ;d̪;d͡ʒ;n̪;s;z;l;k;ɡ} 
#brˈɛ̃n̪# | Rule 505 : [+front,-hi,+syl] > [+nas,+son,.delrel] / __ [+nas,-syl]
#brˈãn̪# | Rule 557 : [+nas,-hi,+syl] > [+lo,+tense,-cons,-lat,+cont,.delrel] / __ [+cons]
#brˈãː# | Rule 673 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ #
#bʀˈãː# | Rule 704 : r > ʀ 
#bʀãː# | Rule 705 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#bʀã# | Rule 706 : [+syl,+long] > [-long,-splng] 
#bʀɑ̃# | Rule 711 : {ã;ãː} > {ɑ̃;ɑ̃ː} 
#bʁɑ̃# | Rule 712 : ʀ > ʁ 
