Trajectory file for run 'ᵲun1'; etymon number :466:
#kˈoːleɑ# >>> #kuj# ( Correct : #kuj#) :
k ˈoː l e ɑ 
#kˈoːlɛɑ# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#kˈoːljɑ# | Rule 25 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,.stres,.prim,-cons,-lat,+cont,.delrel] / __ [+syl]
#kˈoːlʝɑ# | Rule 28 : j > ʝ / __ [+syl]
#kˈolʝɑ# | Rule 55 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#kˈoʎɑ# | Rule 91 : l ʝ > ʎ 
#kˈoːʎɑ# | Rule 111 : [+prim] > [+long] / __ [+cons] [-cons]
#kˈoːʎa# | Rule 197 : [+lo,+syl] > [+front,-back] 
#kˈoʎa# | Rule 400 : [+prim,-front] > [-long,-splng] / __ ʎ
#kˈoʎə# | Rule 432 : a > ə / [+syl] ( [-syl] )* __ 
#kˈuʎə# | Rule 544 : [+round,+tense,+back] > [+hi] 
#kˈuʎə̯# | Rule 686 : ə > ə̯ / __ #
#kˈuʎ# | Rule 693 : ə̯ > ∅ 
#kuʎ# | Rule 705 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#kuj# | Rule 713 : ʎ > j 
