Trajectory file for run 'ᵲun1'; etymon number :960:
#pˈuːlikem# >>> #pyws# ( Correct : #pys#) :
p ˈuː l i k e m 
#pˈuːlɪkɛm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#pˈulɪkɛm# | Rule 55 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#pˈulekɛm# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#pˈulekɛ# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#pˈulekʲɛ# | Rule 76 : [+hi,+back,-cont] > [+front] / __ [+cont,-lo,+front]
#pˈulecɛ# | Rule 77 : [+back,+front] > [-back] 
#pˈuːlecɛ# | Rule 111 : [+prim] > [+long] / __ [+cons] [-cons]
#pˈuːlet͡sʲɛ# | Rule 180 : {c;ɟ} > {t͡sʲ;d͡ʒ} 
#pˈʉːlet͡sʲɛ# | Rule 216 : [+hi,+tense,+round,+syl,-nas] > [-front,-back] 
#pˈʉːlət͡sʲɛ# | Rule 263 : [+syl,-stres,-lo] > ə / __ [-syl] ( [-syl] )* [+syl] ( [-syl] )* #
#pˈʉːlət͡sʲə# | Rule 266 : [-stres,-lo,+syl] > ə / __ #
#pˈʉːlə̯t͡sʲə̯# | Rule 268 : ə > ə̯ 
#pˈʉːlə̯t͡sʲə# | Rule 298 : ə̯ > ə / ə̯ ( [-syl] )* __ #
#pˈʉːlt͡sʲə# | Rule 302 : ə̯ > ∅ 
#pˈʉlt͡sʲə# | Rule 357 : [+syl] > [-long,-splng] / __ [-syl] [+cons,-son]
#pˈʉɫt͡sʲə# | Rule 489 : [+lat] > [+back] / __ [+cons]
#pˈyɫt͡sʲə# | Rule 490 : [+hi,+round,-back] > [+front] 
#pˈyɫt͡sə# | Rule 528 : t͡sʲ > t͡s / [-nas] __ 
#pˈywt͡sə# | Rule 560 : [+lat,+back] > w 
#pˈywsə# | Rule 614 : [+delrel] > [+cont,.delrel] 
#pˈywsə̯# | Rule 686 : ə > ə̯ / __ #
#pˈyws# | Rule 693 : ə̯ > ∅ 
#pyws# | Rule 705 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
