Trajectory file for run 'ᵲun1'; etymon number :523:
#kˈuːpreum# >>> #kɥivʁ# ( Correct : #kɥivʁ#) :
k ˈuː p r e u m 
#kˈuːprɛʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#kˈuːprjʊm# | Rule 25 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,.stres,.prim,-cons,-lat,+cont,.delrel] / __ [+syl]
#kˈuːprʝʊm# | Rule 28 : j > ʝ / __ [+syl]
#kˈuprʝʊm# | Rule 55 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#kˈuprʝom# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#kˈuprʝo# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#kˈuːprʝo# | Rule 112 : [+prim] > [+long] / __ [-cont] [+cons,+son,-nas]
#kˈuːprʲo# | Rule 174 : r ʝ > rʲ 
#kˈʉːprʲo# | Rule 216 : [+hi,+tense,+round,+syl,-nas] > [-front,-back] 
#kˈʉːprʲə# | Rule 266 : [-stres,-lo,+syl] > ə / __ #
#kˈʉːprʲə̯# | Rule 268 : ə > ə̯ 
#kˈʉːprʲ# | Rule 302 : ə̯ > ∅ 
#kˈʉːprʲə# | Rule 315 : ∅ > ə / [+cons,-son] [+son,-syl] __ #
#kˈʉːjprʲə# | Rule 349 : ∅ > j / [-cons] __ [+cons,-front] ( [+cons,-front] )* rʲ
#kˈʉːjbrʲə# | Rule 355 : [-voi,-delrel,+ant] > [+voi] / [-cons] __ [+cor,+son,-nas]
#kˈʉjbrʲə# | Rule 357 : [+syl] > [-long,-splng] / __ [-syl] [+cons,-son]
#kˈʉjbrə# | Rule 384 : rʲ > r 
#kˈʉjβrə# | Rule 453 : b > β / [-cons] __ r
#kˈʉjvrə# | Rule 454 : β > v 
#kˈyjvrə# | Rule 490 : [+hi,+round,-back] > [+front] 
#kɥˈivrə# | Rule 601 : {y j;ˌy j;ˈy j} > {ɥ i;ɥ ˌi;ɥ ˈi} 
#kɥˈivrə̯# | Rule 686 : ə > ə̯ / __ #
#kɥˈivr# | Rule 693 : ə̯ > ∅ 
#kɥˈivʀ# | Rule 704 : r > ʀ 
#kɥivʀ# | Rule 705 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#kɥivʁ# | Rule 712 : ʀ > ʁ 
