Trajectory file for run 'ᵲun1'; etymon number :407:
#kˌɑːn̪ˈuːt̪ɑm# >>> #ʃə̃n̪y# ( Correct : #ʃən̪y#) :
k ˌɑː n̪ ˈuː t̪ ɑ m 
#kˌɑːn̪ˈut̪ɑm# | Rule 55 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#kˌɑn̪ˈut̪ɑm# | Rule 56 : [+syl,+long] > [-long,-splng] 
#kˌɑn̪ˈut̪ɑ# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#kˌɑn̪ˈuːt̪ɑ# | Rule 111 : [+prim] > [+long] / __ [+cons] [-cons]
#kˌan̪ˈuːt̪a# | Rule 197 : [+lo,+syl] > [+front,-back] 
#kˌan̪ˈʉːt̪a# | Rule 216 : [+hi,+tense,+round,+syl,-nas] > [-front,-back] 
#kʲˌan̪ˈʉːt̪a# | Rule 234 : [+hi,+back,+cons] > [+front] / __ [+front,+syl]
#kʲˌɛn̪ˈʉːt̪a# | Rule 238 : ˌa > ˌɛ / [+cons,+front] __ [+nas] [+syl,+long]
#cˌɛn̪ˈʉːt̪a# | Rule 245 : [+back,+front] > [-back] 
#t͡ʃˌɛn̪ˈʉːt̪a# | Rule 254 : [+hi,+front,-cont,-ant] > [+delrel,+cor,-hi,+strid,+distr,-son] 
#t͡ʃˌɛn̪ˈʉːd̪a# | Rule 354 : [-voi] > [+voi] / [-cons] __ [-cons]
#t͡ʃˌɛn̪ˈʉːða# | Rule 377 : [-delrel,+voi] > [+cont,.delrel] / [-cons] __ [-cons]
#t͡ʃˌen̪ˈʉːða# | Rule 416 : ˌɛ > ˌe / __ [+cor,+cont] [-cor]
#t͡ʃˌen̪ˈʉːðə# | Rule 432 : a > ə / [+syl] ( [-syl] )* __ 
#t͡ʃˌen̪ˈyːðə# | Rule 490 : [+hi,+round,-back] > [+front] 
#t͡ʃˌən̪ˈyːðə# | Rule 493 : ˌe > ˌə / t͡ʃ __ ( [+cons] ) [+syl]
#t͡ʃˌən̪ˈyːə# | Rule 581 : {θ;ð} > {∅;∅} 
#t͡ʃˌə̃n̪ˈyːə# | Rule 594 : [+syl,-front] > [+nas,+son,.delrel] / __ [+nas]
#ʃˌə̃n̪ˈyːə# | Rule 614 : [+delrel] > [+cont,.delrel] 
#ʃˌə̃n̪ˈyː# | Rule 645 : ə > ∅ / [+syl] __ 
#ʃə̃n̪yː# | Rule 705 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#ʃə̃n̪y# | Rule 706 : [+syl,+long] > [-long,-splng] 
