Trajectory file for run 'ᵲun1'; etymon number :62:
#ˈɑrbrem# >>> #aʁbʁ# ( Correct : #aʁbʁ#) :
ˈɑ r b r e m 
#ˈɑrbrɛm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#ˈɑrbrɛ# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#ˈarbrɛ# | Rule 197 : [+lo,+syl] > [+front,-back] 
#ˈarbrə# | Rule 266 : [-stres,-lo,+syl] > ə / __ #
#ˈarbrə̯# | Rule 268 : ə > ə̯ 
#ˈarbɾə# | Rule 291 : {n̪ ə̯;ə̯ n̪;r ə̯;ə̯ r} > {ɾ ə;ɾ ə;ɾ ə;ɾ ə} / [+cons] [-cont] __ #
#ˈarbrə# | Rule 297 : ɾ > r 
#ˈarbrə̯# | Rule 686 : ə > ə̯ / __ #
#ˈaɹbrə̯# | Rule 688 : r > ɹ / [-cons] __ [+cons]
#ˈaɹbr# | Rule 693 : ə̯ > ∅ 
#ˈarbr# | Rule 702 : ɹ > r 
#ˈaʀbʀ# | Rule 704 : r > ʀ 
#aʀbʀ# | Rule 705 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#aʁbʁ# | Rule 712 : ʀ > ʁ 
