Trajectory file for run 'ᵲun1'; etymon number :1321:
#wˌiɡˈiliɑm# >>> #vɛj# ( Correct : #vɛj#) :
w ˌi ɡ ˈi l i ɑ m 
#ɣʷˌiɡˈiliɑm# | Rule 5 : {j;w} > {ʝ;ɣʷ} / __ [+syl]
#ɣʷˌɪɡˈɪlɪɑm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#ɣʷˌɪɡˈɪljɑm# | Rule 25 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,.stres,.prim,-cons,-lat,+cont,.delrel] / __ [+syl]
#ɣʷˌɪɡˈɪlʝɑm# | Rule 28 : j > ʝ / __ [+syl]
#βʷˌɪɡˈɪlʝɑm# | Rule 50 : ɣʷ > βʷ 
#βʷˌeɡˈelʝɑm# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#βʷˌeɡˈelʝɑ# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#βʷˌeɡʲˈelʝɑ# | Rule 76 : [+hi,+back,-cont] > [+front] / __ [+cont,-lo,+front]
#βʷˌeɟˈelʝɑ# | Rule 77 : [+back,+front] > [-back] 
#βʷˌeɟˈeʎɑ# | Rule 91 : l ʝ > ʎ 
#βʷˌeʝˈeʎɑ# | Rule 104 : [-cont,-delrel,+voi] > [+cont,.delrel] / [+syl] __ [+son,-lat,-nas]
#βʷˌeʝˈeːʎɑ# | Rule 111 : [+prim] > [+long] / __ [+cons] [-cons]
#βˌeʝˈeːʎɑ# | Rule 157 : {βʷ;ɸʷ} > {β;ɸ} 
#βˌeˈeːʎɑ# | Rule 158 : ʝ > ∅ / ˌe __ [+syl]
#βˌeˈeːʎa# | Rule 197 : [+lo,+syl] > [+front,-back] 
#βˌeˈeʎa# | Rule 401 : [+prim,-hi] > [-long,-splng] / __ ʎ
#vˌeˈeʎa# | Rule 426 : β > v 
#vˌeˈeʎə# | Rule 432 : a > ə / [+syl] ( [-syl] )* __ 
#vˌəˈeʎə# | Rule 494 : ˌe > ˌə / v __ ( [+cons] ) [+syl]
#vˌəˈɛʎə# | Rule 530 : [+front,-hi,-lo,-round,+stres] > [-tense,-cons,-lat,+cont,.delrel] / __ ʎ
#vˌəˈɛjʎə# | Rule 548 : ∅ > j / [-hi,-lo,-round,+stres] __ ʎ [+syl]
#vˌəˈɛːʎə# | Rule 608 : {ˌɛ j;ˌɛː j;ˈɛ j;ˈɛː j} > {ˌɛː;ˌɛː;ˈɛː;ˈɛː} / __ [+cons]
#vˈɛːʎə# | Rule 641 : ˌə > ∅ / __ [+syl]
#vˈɛːʎə̯# | Rule 686 : ə > ə̯ / __ #
#vˈɛːʎ# | Rule 693 : ə̯ > ∅ 
#vɛːʎ# | Rule 705 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#vɛʎ# | Rule 706 : [+syl,+long] > [-long,-splng] 
#vɛj# | Rule 713 : ʎ > j 
