Trajectory file for run 'ᵲun1'; etymon number :164:
#d̪ˌeːrˈet̪roː# >>> #d̪ɛʁjɛʁ# ( Correct : #d̪ɛʁjɛʁ#) :
d̪ ˌeː r ˈe t̪ r oː 
#d̪ˌeːrˈɛt̪roː# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#d̪ˌerˈɛt̪ro# | Rule 55 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#d̪ˌerˈɛːt̪ro# | Rule 112 : [+prim] > [+long] / __ [-cont] [+cons,+son,-nas]
#d̪ˌerˈie̯t̪ro# | Rule 165 : {ˈɛː;ˈɔː} > {ˈi e̯;ˈu o̯} 
#d̪ˌerˈie̯t̪rə# | Rule 266 : [-stres,-lo,+syl] > ə / __ #
#d̪ˌerˈie̯t̪rə̯# | Rule 268 : ə > ə̯ 
#d̪ˌerˈie̯t̪r# | Rule 302 : ə̯ > ∅ 
#d̪ˌerˈie̯t̪rə# | Rule 315 : ∅ > ə / [+cons,-son] [+son,-syl] __ #
#d̪ˌerˈie̯d̪rə# | Rule 355 : [-voi,-delrel,+ant] > [+voi] / [-cons] __ [+cor,+son,-nas]
#d̪ˌerˈie̯ðrə# | Rule 378 : [-delrel,+voi] > [+cont,.delrel] / [-cons] __ r
#d̪ˌɛrˈie̯ðrə# | Rule 569 : ˌe > ˌɛ / __ [+cont,-lat,-nas,+voi] [+syl]
#d̪ˌɛrjˈeðrə# | Rule 570 : {ˈi e̯;ˌɛ a̯;ˈɛ a̯;ˈy ø̯} > {j ˈe;e̯ ˌa;e̯ ˈa;ɥ ˈø} 
#d̪ˌɛrjˈerə# | Rule 581 : {θ;ð} > {∅;∅} 
#d̪ˌɛrjˈɛrə# | Rule 622 : ˈe > ˈɛ 
#d̪ˌɛrjˈɛrə̯# | Rule 686 : ə > ə̯ / __ #
#d̪ˌɛrjˈɛr# | Rule 693 : ə̯ > ∅ 
#d̪ˌɛʀjˈɛʀ# | Rule 704 : r > ʀ 
#d̪ɛʀjɛʀ# | Rule 705 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#d̪ɛʁjɛʁ# | Rule 712 : ʀ > ʁ 
