Trajectory file for run 'ᵲun1'; etymon number :389:
#kˈɑlid̪um# >>> #ʃo# ( Correct : #ʃo#) :
k ˈɑ l i d̪ u m 
#kˈɑlɪd̪ʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#kˈɑld̪ʊm# | Rule 40 : ɪ > ∅ / [+prim] ( [-syl] )* [+cons] __ d̪ [+back,-lo] ( [-syl] ) #
#kˈɑld̪om# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#kˈɑld̪o# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#kˈɑɫd̪o# | Rule 137 : l > ɫ / __ [+cons,-lat]
#kˈaɫd̪o# | Rule 197 : [+lo,+syl] > [+front,-back] 
#kʲˈaɫd̪o# | Rule 234 : [+hi,+back,+cons] > [+front] / __ [+front,+syl]
#cˈaɫd̪o# | Rule 245 : [+back,+front] > [-back] 
#t͡ʃˈaɫd̪o# | Rule 254 : [+hi,+front,-cont,-ant] > [+delrel,+cor,-hi,+strid,+distr,-son] 
#t͡ʃˈaɫd̪ə# | Rule 266 : [-stres,-lo,+syl] > ə / __ #
#t͡ʃˈaɫd̪ə̯# | Rule 268 : ə > ə̯ 
#t͡ʃˈaɫd̪# | Rule 302 : ə̯ > ∅ 
#t͡ʃˈaɫt̪# | Rule 435 : [-son] > [-voi] / __ #
#t͡ʃˈawt̪# | Rule 560 : [+lat,+back] > w 
#ʃˈawt̪# | Rule 614 : [+delrel] > [+cont,.delrel] 
#ʃˈoːt̪# | Rule 629 : {ˌa w;ˈa w} > {ˌoː;ˈoː} 
#ʃˈoː# | Rule 692 : [-son] > ∅ / __ #
#ʃoː# | Rule 705 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#ʃo# | Rule 706 : [+syl,+long] > [-long,-splng] 
