Trajectory file for run 'ᵲun1'; etymon number :43:
#ˌɑmˈiːkum# >>> #ami# ( Correct : #ami#) :
ˌɑ m ˈiː k u m 
#ˌɑmˈiːkʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#ˌɑmˈikʊm# | Rule 55 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#ˌɑmˈikom# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#ˌɑmˈiko# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#ˌɑmˈiːko# | Rule 111 : [+prim] > [+long] / __ [+cons] [-cons]
#ˌɑmˈiːɡo# | Rule 131 : k > ɡ / [-cons] __ [+syl]
#ˌɑmˈiːɣo# | Rule 133 : ɡ > ɣ / [-cons] __ [-cons]
#ˌamˈiːɣo# | Rule 197 : [+lo,+syl] > [+front,-back] 
#ˌamˈiːɣə# | Rule 266 : [-stres,-lo,+syl] > ə / __ #
#ˌamˈiːɣə̯# | Rule 268 : ə > ə̯ 
#ˌamˈiːɣ# | Rule 302 : ə̯ > ∅ 
#ˌamˈiːx# | Rule 435 : [-son] > [-voi] / __ #
#ˌamˈiːç# | Rule 447 : x > ç / [+hi,+front,+prim] ( [-cons,-syl,+front] ) __ #
#ˌamˈiːʝ# | Rule 449 : ç > ʝ 
#ˌamˈiːj# | Rule 455 : ʝ > j / [-cons] __ 
#ˌamˈiː# | Rule 456 : j > ∅ / [+hi,+front,+tense,+syl] __ 
#ˌãmˈiː# | Rule 492 : [+lo,+syl] > [+nas,+son,.delrel] / __ [+nas,-syl]
#ˌamˈiː# | Rule 696 : [+front,-round,+syl,+nas] > [-nas] / __ [+cons,+nas] [-cons]
#amiː# | Rule 705 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#ami# | Rule 706 : [+syl,+long] > [-long,-splng] 
