Trajectory file for run 'ᵲun1'; etymon number :149:
#bˈun̪d̪ɑm# >>> #bɔ̃d̪# ( Correct : #bɔ̃d̪#) :
b ˈu n̪ d̪ ɑ m 
#bˈʊn̪d̪ɑm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#bˈon̪d̪ɑm# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#bˈon̪d̪ɑ# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#bˈũn̪d̪ɑ# | Rule 164 : [+round,-hi] > [+tense,+hi,+nas,-cons,+son,-lat,+cont,.delrel] / __ [+nas,+cons]
#bˈũn̪d̪a# | Rule 197 : [+lo,+syl] > [+front,-back] 
#bˈũn̪d̪ə# | Rule 432 : a > ə / [+syl] ( [-syl] )* __ 
#bˈũːd̪ə# | Rule 672 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#bˈũːd̪ə̯# | Rule 686 : ə > ə̯ / __ #
#bˈũːd̪# | Rule 693 : ə̯ > ∅ 
#bũːd̪# | Rule 705 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#bũd̪# | Rule 706 : [+syl,+long] > [-long,-splng] 
#bɔ̃d̪# | Rule 707 : [+back,-lo,+nas,+syl] > ɔ̃ 
