Trajectory file for run 'ᵲun1'; etymon number :1286:
#wˈekt̪em# >>> #vi# ( Correct : #vi#) :
w ˈe k t̪ e m 
#ɣʷˈekt̪em# | Rule 5 : {j;w} > {ʝ;ɣʷ} / __ [+syl]
#ɣʷˈɛkt̪ɛm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#βʷˈɛkt̪ɛm# | Rule 50 : ɣʷ > βʷ 
#βʷˈɛxt̪ɛm# | Rule 61 : k > x / [-cons] __ [+cor,-voi]
#βʷˈɛxt̪ɛ# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#βˈɛxt̪ɛ# | Rule 157 : {βʷ;ɸʷ} > {β;ɸ} 
#βˈɛçt̪ɛ# | Rule 205 : [+back,+hi,+cont,-son] > [-back,+front] / __ [+cor]
#βˈɛçt̪ʲɛ# | Rule 215 : [+cor,+ant,-lat] > [+hi,+front] / [+hi,+front,+cons] __ 
#βˈie̯çt̪ʲɛ# | Rule 231 : {ˈɛ;ˈɔ} > {ˈi e̯;ˈu o̯} / __ [+cons,+hi,+front]
#βˈie̯çt̪ʲə# | Rule 266 : [-stres,-lo,+syl] > ə / __ #
#βˈie̯çt̪ʲə̯# | Rule 268 : ə > ə̯ 
#βˈie̯çt̪ʲ# | Rule 302 : ə̯ > ∅ 
#βˈie̯çt̪# | Rule 385 : {t̪ʲ;d̪ʲ;sʲ;zʲ;n̪ʲ;d͡zʲ} > {t̪;d̪;s;z;n̪;d͡z} / [+hi,+front,-syl] __ 
#βˈie̯çt̪ʲ# | Rule 387 : {t̪;d̪;s} > {t̪ʲ;d̪ʲ;sʲ} / [-syl,+hi,+front,+cont,-strid] __ #
#vˈie̯çt̪ʲ# | Rule 426 : β > v 
#vˈie̯ʝt̪ʲ# | Rule 449 : ç > ʝ 
#vˈie̯jt̪ʲ# | Rule 455 : ʝ > j / [-cons] __ 
#vˈijt̪ʲ# | Rule 538 : e̯ > ∅ / [+hi,+front,+tense,+prim] __ j
#vˈit̪ʲ# | Rule 539 : j > ∅ / ˈi __ 
#vˈit̪# | Rule 628 : {sʲ;d̪ʲ;t̪ʲ} > {s;d̪;t̪} 
#vˈi# | Rule 692 : [-son] > ∅ / __ #
#vi# | Rule 705 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
