Trajectory file for run 'ᵲun1'; etymon number :503:
#krˈeːd̪is# >>> #kʁwa# ( Correct : #kʁwa#) :
k r ˈeː d̪ i s 
#krˈeːd̪ɪs# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#krˈed̪ɪs# | Rule 55 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#krˈed̪es# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#krˈeðes# | Rule 104 : [-cont,-delrel,+voi] > [+cont,.delrel] / [+syl] __ [+son,-lat,-nas]
#krˈeːðes# | Rule 111 : [+prim] > [+long] / __ [+cons] [-cons]
#krˈeːðəs# | Rule 265 : [-stres,-lo,+syl] > ə / __ [-syl]
#krˈeːðə̯s# | Rule 268 : ə > ə̯ 
#krˈeːðs# | Rule 302 : ə̯ > ∅ 
#krˈeːt͡s# | Rule 325 : [+ant,+cor,+distr,-nas] s > t͡s/ __ #
#krˈejt͡s# | Rule 406 : {ˈaː;ˈeː;ˈoː;ˈɛː} > {ˈa e̯;ˈe j;ˈo w;ˈi e̯} 
#krˈojt͡s# | Rule 525 : [+front,+tense,-hi,-lo,+syl] > [+back,-front,+round,+lab] / __ j
#krˈujt͡s# | Rule 544 : [+round,+tense,+back] > [+hi] 
#krˈuɛ̯t͡s# | Rule 598 : j > ɛ̯ / [+syl,+back,+round] __ 
#krwˈɛt͡s# | Rule 599 : {u ɛ̯;ˌu ɛ̯;ˈu ɛ̯;ɔ ɛ̯;ˌɔ ɛ̯;ˈɔ ɛ̯} > {w ɛ;w ˌɛ;w ˈɛ;w ɛ;w ˌɛ;w ˈɛ} 
#krwˈɛs# | Rule 614 : [+delrel] > [+cont,.delrel] 
#krwˈɛ# | Rule 692 : [-son] > ∅ / __ #
#kʀwˈɛ# | Rule 704 : r > ʀ 
#kʀwɛ# | Rule 705 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#kʀwa# | Rule 710 : ɛ > a / w __ 
#kʁwa# | Rule 712 : ʀ > ʁ 
