Trajectory file for run 'ᵲun1'; etymon number :1050:
#sˌɑːn̪kt̪it̪ˈɑːt̪em# >>> #sɛ̃t̪jɛ# ( Correct : #sɛ̃t̪ət̪e#) :
s ˌɑː n̪ k t̪ i t̪ ˈɑː t̪ e m 
#sˌɑːŋkt̪it̪ˈɑːt̪em# | Rule 0 : n̪ > ŋ / __ [+hi,+back,-cont]
#sˌɑːŋkt̪ɪt̪ˈɑːt̪ɛm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#sˌɑŋkt̪ɪt̪ˈɑt̪ɛm# | Rule 56 : [+syl,+long] > [-long,-splng] 
#sˌɑŋt̪ɪt̪ˈɑt̪ɛm# | Rule 59 : k > ∅ / ŋ __ [+cor,-voi]
#sˌɑŋt̪et̪ˈɑt̪ɛm# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#sˌɑŋt̪et̪ˈɑt̪ɛ# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#sˌɑŋt̪et̪ˈɑːt̪ɛ# | Rule 111 : [+prim] > [+long] / __ [+cons] [-cons]
#sˌɑɲt̪et̪ˈɑːt̪ɛ# | Rule 171 : ŋ > ɲ / __ [+cor]
#sˌɑɲt̪t̪ˈɑːt̪ɛ# | Rule 192 : [+front,+tense,-lo,-stres] > ∅ / __ t̪ [+lo,+long]
#sˌaɲt̪t̪ˈaːt̪ɛ# | Rule 197 : [+lo,+syl] > [+front,-back] 
#sˌaɲt̪ˈaːt̪ɛ# | Rule 203 : {n̪ n̪;s s;d̪ d̪;t̪ t̪;w w;m m} > {n̪;s;d̪;t̪;w;m} / [+cons] __ 
#sˌaɲt̪ʲˈaːt̪ɛ# | Rule 215 : [+cor,+ant,-lat] > [+hi,+front] / [+hi,+front,+cons] __ 
#sˌaɲt̪ʲˈɛːt̪ɛ# | Rule 240 : ˈaː > ˈɛː / [+cons,+front] __ [+cons,-front,-nas]
#sˌaɲt̪ʲˈie̯t̪ɛ# | Rule 242 : {ˈɛː;ˈɔː} > {ˈi e̯;ˈu o̯} 
#sˌaɲt̪ʲˈie̯t̪ə# | Rule 266 : [-stres,-lo,+syl] > ə / __ #
#sˌaɲt̪ʲˈie̯t̪ə̯# | Rule 268 : ə > ə̯ 
#sˌaɲt̪ʲˈie̯t̪# | Rule 302 : ə̯ > ∅ 
#sˌaɲt̪ˈie̯t̪# | Rule 385 : {t̪ʲ;d̪ʲ;sʲ;zʲ;n̪ʲ;d͡zʲ} > {t̪;d̪;s;z;n̪;d͡z} / [+hi,+front,-syl] __ 
#sˌaɲt̪ˈie̯θ# | Rule 429 : [-cont,-delrel] > [+cont,.delrel] / [-cons] __ #
#sˌaj̃n̪t̪ˈie̯θ# | Rule 434 : ɲ > j̃ n̪ / __ [+cons]
#sˌãj̃n̪t̪ˈie̯θ# | Rule 492 : [+lo,+syl] > [+nas,+son,.delrel] / __ [+nas,-syl]
#sˌɛ̃j̃n̪t̪ˈie̯θ# | Rule 564 : [+lo,+nas] > [-lo,-tense,-cons,-lat,+cont,.delrel] / __ j̃
#sˌɛ̃j̃n̪t̪jˈeθ# | Rule 570 : {ˈi e̯;ˌɛ a̯;ˈɛ a̯;ˈy ø̯} > {j ˈe;e̯ ˌa;e̯ ˈa;ɥ ˈø} 
#sˌɛ̃j̃n̪t̪jˈe# | Rule 581 : {θ;ð} > {∅;∅} 
#sˌɛ̃j̃n̪t̪jˈɛ# | Rule 622 : ˈe > ˈɛ 
#sˌɛ̃n̪t̪jˈɛ# | Rule 626 : j̃ > ∅ / [+nas,+front,-tense] __ 
#sˌɛ̃ːt̪jˈɛ# | Rule 672 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#sɛ̃ːt̪jɛ# | Rule 705 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#sɛ̃t̪jɛ# | Rule 706 : [+syl,+long] > [-long,-splng] 
