Trajectory file for run 'ᵲun1'; etymon number :449:
#kˌert̪ˈɑːn̪um# >>> #sɛʁt̪ɛ̃# ( Correct : #sɛʁt̪ɛ̃#) :
k ˌe r t̪ ˈɑː n̪ u m 
#kˌɛrt̪ˈɑːn̪ʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#kˌɛrt̪ˈɑn̪ʊm# | Rule 56 : [+syl,+long] > [-long,-splng] 
#kˌɛrt̪ˈɑn̪om# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#kˌɛrt̪ˈɑn̪o# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#kʲˌɛrt̪ˈɑn̪o# | Rule 76 : [+hi,+back,-cont] > [+front] / __ [+cont,-lo,+front]
#cˌɛrt̪ˈɑn̪o# | Rule 77 : [+back,+front] > [-back] 
#cˌɛr̥t̪ˈɑn̪o# | Rule 102 : [+ant,+cons] > [-voi] / __ t̪
#cˌɛrt̪ˈɑn̪o# | Rule 103 : r̥ > r 
#cˌɛrt̪ˈɑːn̪o# | Rule 111 : [+prim] > [+long] / __ [+cons] [-cons]
#t͡sʲˌɛrt̪ˈɑːn̪o# | Rule 180 : {c;ɟ} > {t͡sʲ;d͡ʒ} 
#t͡sʲˌɛrt̪ˈaːn̪o# | Rule 197 : [+lo,+syl] > [+front,-back] 
#t͡sʲˌɛrt̪ˈaːn̪ə# | Rule 266 : [-stres,-lo,+syl] > ə / __ #
#t͡sʲˌɛrt̪ˈaːn̪ə̯# | Rule 268 : ə > ə̯ 
#t͡sʲˌɛrt̪ˈaːn̪# | Rule 302 : ə̯ > ∅ 
#t͡sʲˌɛrt̪ˈae̯n̪# | Rule 406 : {ˈaː;ˈeː;ˈoː;ˈɛː} > {ˈa e̯;ˈe j;ˈo w;ˈi e̯} 
#t͡sʲˌɨrt̪ˈae̯n̪# | Rule 412 : {ˌɛ r;ˌɛ ɫ;t͡sʲ ˌɛ;ˌɔ ɫ} > {ˌɨ r;ˌɨ ɫ;t͡sʲ ˌɨ;ˌɯ ɫ} / __ [+cons]
#t͡sʲˌɛrt̪ˈae̯n̪# | Rule 420 : {ˌɨ;ˌɯ} > {ˌɛ;ˌɔ} 
#t͡sʲˌɛrt̪ˈajn̪# | Rule 428 : e̯ > j / [+lo,+stres] __ [+nas,+cons,-hi]
#t͡sʲˌɛrt̪ˈaj̃n̪# | Rule 491 : j > j̃ / [+lo,+syl] __ [+nas,-syl]
#t͡sʲˌɛrt̪ˈãj̃n̪# | Rule 492 : [+lo,+syl] > [+nas,+son,.delrel] / __ [+nas,-syl]
#t͡sˌɛrt̪ˈãj̃n̪# | Rule 529 : t͡sʲ > t͡s / # __ 
#t͡sˌɛrt̪ˈɛ̃j̃n̪# | Rule 564 : [+lo,+nas] > [-lo,-tense,-cons,-lat,+cont,.delrel] / __ j̃
#sˌɛrt̪ˈɛ̃j̃n̪# | Rule 614 : [+delrel] > [+cont,.delrel] 
#sˌɛrt̪ˈɛ̃n̪# | Rule 626 : j̃ > ∅ / [+nas,+front,-tense] __ 
#sˌɛrt̪ˈɛ̃ː# | Rule 673 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ #
#sˌɛɹt̪ˈɛ̃ː# | Rule 688 : r > ɹ / [-cons] __ [+cons]
#sˌɛrt̪ˈɛ̃ː# | Rule 702 : ɹ > r 
#sˌɛʀt̪ˈɛ̃ː# | Rule 704 : r > ʀ 
#sɛʀt̪ɛ̃ː# | Rule 705 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#sɛʀt̪ɛ̃# | Rule 706 : [+syl,+long] > [-long,-splng] 
#sɛʁt̪ɛ̃# | Rule 712 : ʀ > ʁ 
