Trajectory file for run 'ᵲun1'; etymon number :999:
#rˈeːt̪eːs# >>> #ʁwa# ( Correct : #ʁɛ#) :
r ˈeː t̪ eː s 
#rˈet̪es# | Rule 55 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#rˈeːt̪es# | Rule 111 : [+prim] > [+long] / __ [+cons] [-cons]
#rˈeːt̪əs# | Rule 265 : [-stres,-lo,+syl] > ə / __ [-syl]
#rˈeːt̪ə̯s# | Rule 268 : ə > ə̯ 
#rˈeːt̪s# | Rule 302 : ə̯ > ∅ 
#rˈeːt͡s# | Rule 325 : [+ant,+cor,+distr,-nas] s > t͡s/ __ #
#rˈejt͡s# | Rule 406 : {ˈaː;ˈeː;ˈoː;ˈɛː} > {ˈa e̯;ˈe j;ˈo w;ˈi e̯} 
#rˈojt͡s# | Rule 525 : [+front,+tense,-hi,-lo,+syl] > [+back,-front,+round,+lab] / __ j
#rˈujt͡s# | Rule 544 : [+round,+tense,+back] > [+hi] 
#rˈuɛ̯t͡s# | Rule 598 : j > ɛ̯ / [+syl,+back,+round] __ 
#rwˈɛt͡s# | Rule 599 : {u ɛ̯;ˌu ɛ̯;ˈu ɛ̯;ɔ ɛ̯;ˌɔ ɛ̯;ˈɔ ɛ̯} > {w ɛ;w ˌɛ;w ˈɛ;w ɛ;w ˌɛ;w ˈɛ} 
#rwˈɛs# | Rule 614 : [+delrel] > [+cont,.delrel] 
#rwˈɛ# | Rule 692 : [-son] > ∅ / __ #
#ʀwˈɛ# | Rule 704 : r > ʀ 
#ʀwɛ# | Rule 705 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#ʀwa# | Rule 710 : ɛ > a / w __ 
#ʁwa# | Rule 712 : ʀ > ʁ 
