Trajectory file for run 'ᵲun1'; etymon number :298:
#fˈuːst̪em# >>> #fys# ( Correct : #fy#) :
f ˈuː s t̪ e m 
#fˈuːst̪ɛm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#fˈust̪ɛm# | Rule 55 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#fˈust̪ɛ# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#fˈʉst̪ɛ# | Rule 216 : [+hi,+tense,+round,+syl,-nas] > [-front,-back] 
#fˈʉst̪ə# | Rule 266 : [-stres,-lo,+syl] > ə / __ #
#fˈʉst̪ə̯# | Rule 268 : ə > ə̯ 
#fˈʉst̪# | Rule 302 : ə̯ > ∅ 
#fˈyst̪# | Rule 490 : [+hi,+round,-back] > [+front] 
#fˈys# | Rule 692 : [-son] > ∅ / __ #
#fys# | Rule 705 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
