Trajectory file for run 'ᵲun1'; etymon number :669:
#mˌed̪ˈullɑm# >>> #mul# ( Correct : #mwal#) :
m ˌe d̪ ˈu l l ɑ m 
#mˌɛd̪ˈʊllɑm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#mˌɛd̪ˈollɑm# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#mˌɛd̪ˈollɑ# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#mˌɛðˈollɑ# | Rule 104 : [-cont,-delrel,+voi] > [+cont,.delrel] / [+syl] __ [+son,-lat,-nas]
#mˌɛðˈolla# | Rule 197 : [+lo,+syl] > [+front,-back] 
#mˌeðˈolla# | Rule 416 : ˌɛ > ˌe / __ [+cor,+cont] [-cor]
#mˌeðˈollə# | Rule 432 : a > ə / [+syl] ( [-syl] )* __ 
#mˌeðˈolə# | Rule 480 : {p p;b b;f f;m m;t̪ t̪;t̪ t͡s;t̪ t͡sʲ;t̪ t͡ʃ;d̪ d̪;d̪ d͡ʒ;n̪ n̪;s s;z z;l l;k k;ɡ ɡ} > {p;b;f;m;t̪;t͡s;t͡sʲ;t͡ʃ;d̪;d͡ʒ;n̪;s;z;l;k;ɡ} 
#mˌəðˈolə# | Rule 495 : ˌe > ˌə / # [+son] __ ( [+cons] ) [+syl]
#mˌəðˈulə# | Rule 544 : [+round,+tense,+back] > [+hi] 
#mˌəˈulə# | Rule 581 : {θ;ð} > {∅;∅} 
#mˌəˈuːlə# | Rule 640 : [+prim] > [+long] / ˌə __ 
#mˈuːlə# | Rule 641 : ˌə > ∅ / __ [+syl]
#mˈuːlə̯# | Rule 686 : ə > ə̯ / __ #
#mˈuːl# | Rule 693 : ə̯ > ∅ 
#muːl# | Rule 705 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#mul# | Rule 706 : [+syl,+long] > [-long,-splng] 
