Trajectory file for run 'ᵲun1'; etymon number :318:
#ɡrˈɑɸium# >>> #ɡʁaʒ# ( Correct : #ɡʁɛf#) :
ɡ r ˈɑ ɸ i u m 
#ɡrˈɑfium# | Rule 2 : ɸ > f 
#ɡrˈɑfɪʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#ɡrˈɑfjʊm# | Rule 25 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,.stres,.prim,-cons,-lat,+cont,.delrel] / __ [+syl]
#ɡrˈɑfʝʊm# | Rule 28 : j > ʝ / __ [+syl]
#ɡrˈɑfʝom# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#ɡrˈɑfʝo# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#ɡrˈɑvʝo# | Rule 135 : [+cont,-son] > [+voi] / [-cons] __ ʝ [-cons]
#ɡrˈavʝo# | Rule 197 : [+lo,+syl] > [+front,-back] 
#ɡrˈavɟo# | Rule 252 : {j;ʝ} > {ɟ;ɟ} / @ [+cons] ( [+cons] )* __ [+syl]
#ɡrˈavd͡ʒo# | Rule 254 : [+hi,+front,-cont,-ant] > [+delrel,+cor,-hi,+strid,+distr,-son] 
#ɡrˈavd͡ʒə# | Rule 266 : [-stres,-lo,+syl] > ə / __ #
#ɡrˈavd͡ʒə̯# | Rule 268 : ə > ə̯ 
#ɡrˈavd͡ʒə# | Rule 281 : ə̯ > ə / [+delrel,-ant] __ 
#ɡrˈad̪d͡ʒə# | Rule 333 : [+lab,-nas,-round,+cons] > d̪ / __ [-cont,+cor,+voi]
#ɡrˈad͡ʒə# | Rule 477 : [+cor,-cont,-delrel] > ∅ / __ [+cor,-cont]
#ɡrˈaʒə# | Rule 614 : [+delrel] > [+cont,.delrel] 
#ɡrˈaːʒə# | Rule 679 : [+lo] > [+long] / __ ʒ ə #
#ɡrˈaːʒə̯# | Rule 686 : ə > ə̯ / __ #
#ɡrˈaːʒ# | Rule 693 : ə̯ > ∅ 
#ɡʀˈaːʒ# | Rule 704 : r > ʀ 
#ɡʀaːʒ# | Rule 705 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#ɡʀaʒ# | Rule 706 : [+syl,+long] > [-long,-splng] 
#ɡʁaʒ# | Rule 712 : ʀ > ʁ 
