Trajectory file for run 'ᵲun1'; etymon number :1184:
#t̪ˈempus# >>> #t̪ɑ̃# ( Correct : #t̪ɑ̃#) :
t̪ ˈe m p u s 
#t̪ˈɛmpʊs# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#t̪ˈɛmpos# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#t̪ˈɛmpəs# | Rule 265 : [-stres,-lo,+syl] > ə / __ [-syl]
#t̪ˈɛmpə̯s# | Rule 268 : ə > ə̯ 
#t̪ˈɛmps# | Rule 302 : ə̯ > ∅ 
#t̪ˈɛmss# | Rule 334 : [+lab,-nas,-round,+cons] > s / __ s
#t̪ˈɛms# | Rule 336 : {d̪ d̪;t̪ t̪;t̪ t͡s;d̪ d͡ʒ;t̪ t͡ʃ;ɟ ɟ;c c;ɡ ɡ;k k;s s;m m;l l;ɫ l} > {d̪;t̪;t͡s;d͡ʒ;t͡ʃ;ɟ;c;ɡ;k;s;m;l;l} / [+cons] __ 
#t̪ˈɛ̃ms# | Rule 505 : [+front,-hi,+syl] > [+nas,+son,.delrel] / __ [+nas,-syl]
#t̪ˈãms# | Rule 557 : [+nas,-hi,+syl] > [+lo,+tense,-cons,-lat,+cont,.delrel] / __ [+cons]
#t̪ˈãːs# | Rule 672 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#t̪ˈãː# | Rule 692 : [-son] > ∅ / __ #
#t̪ãː# | Rule 705 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#t̪ã# | Rule 706 : [+syl,+long] > [-long,-splng] 
#t̪ɑ̃# | Rule 711 : {ã;ãː} > {ɑ̃;ɑ̃ː} 
