Trajectory file for run 'ᵲun1'; etymon number :344:
#iˌeːiˈuːn̪ium# >>> #ʒœ̃# ( Correct : #ʒœn̪#) :
i ˌeː i ˈuː n̪ i u m 
#ɪˌeːɪˈuːn̪ɪʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#jˌeːjˈuːn̪jʊm# | Rule 25 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,.stres,.prim,-cons,-lat,+cont,.delrel] / __ [+syl]
#ʝˌeːʝˈuːn̪ʝʊm# | Rule 28 : j > ʝ / __ [+syl]
#ʝˌeʝˈun̪ʝʊm# | Rule 55 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#ʝˌeʝˈun̪ʝom# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#ʝˌeʝˈun̪ʝo# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#ʝˌeʝˈuɲo# | Rule 88 : [+nas,+cor] [+hi,+front,-syl,+voi,+cont] > ɲ
#ʝˌeʝˈuːɲo# | Rule 111 : [+prim] > [+long] / __ [+cons] [-cons]
#ʝˌeˈuːɲo# | Rule 158 : ʝ > ∅ / ˌe __ [+syl]
#ʝˌeˈʉːɲo# | Rule 216 : [+hi,+tense,+round,+syl,-nas] > [-front,-back] 
#ɟˌeˈʉːɲo# | Rule 251 : [+hi,-syl,+cont] > [-cont,-son,-delrel,+cons,.tense] / # __ [+syl]
#d͡ʒˌeˈʉːɲo# | Rule 254 : [+hi,+front,-cont,-ant] > [+delrel,+cor,-hi,+strid,+distr,-son] 
#d͡ʒˌeˈʉːɲə# | Rule 266 : [-stres,-lo,+syl] > ə / __ #
#d͡ʒˌeˈʉːɲə̯# | Rule 268 : ə > ə̯ 
#d͡ʒˌeˈʉːɲ# | Rule 302 : ə̯ > ∅ 
#d͡ʒˌeˈʉɲ# | Rule 403 : [+syl] > [-long,-splng] / __ ɲ
#d͡ʒˌoˈʉɲ# | Rule 487 : ˌe > ˌo / __ [+hi,+round,+prim]
#d͡ʒˌoˈyɲ# | Rule 490 : [+hi,+round,-back] > [+front] 
#d͡ʒˌəˈyɲ# | Rule 519 : ˌo > ˌə / __ [+prim,+hi,+round,-back]
#d͡ʒˌəˈỹɲ# | Rule 604 : [+syl] > [+nas,+son,.delrel] / __ [+nas,+cons]
#d͡ʒˌəˈỹn̪# | Rule 613 : ɲ > n̪ / __ #
#ʒˌəˈỹn̪# | Rule 614 : [+delrel] > [+cont,.delrel] 
#ʒˌəˈỹːn̪# | Rule 640 : [+prim] > [+long] / ˌə __ 
#ʒˈỹːn̪# | Rule 641 : ˌə > ∅ / __ [+syl]
#ʒˈỹː# | Rule 673 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ #
#ʒˈœ̃ː# | Rule 694 : [+nas,+front,+syl,-lo] > [-hi,-tense,-cons,-lat,+cont,.delrel] 
#ʒœ̃ː# | Rule 705 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#ʒœ̃# | Rule 706 : [+syl,+long] > [-long,-splng] 
